file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
BlackFly10.trimmed.R1.fastq.gz	FASTQ	DNA	3166143	370697048	50	117.1	132
BlackFly10.trimmed.R2.fastq.gz	FASTQ	DNA	3166143	368457749	50	116.4	132
BlackFly10.trimmed.unpaired.fastq.gz	FASTQ	DNA	1045107	112069467	50	107.2	132
BlackFly11.trimmed.R1.fastq.gz	FASTQ	DNA	3754875	430992992	50	114.8	132
BlackFly11.trimmed.R2.fastq.gz	FASTQ	DNA	3754875	428665491	50	114.2	132
BlackFly11.trimmed.unpaired.fastq.gz	FASTQ	DNA	1422648	156422552	50	110.0	132
BlackFly12.trimmed.R1.fastq.gz	FASTQ	DNA	7540824	947607711	50	125.7	132
BlackFly12.trimmed.R2.fastq.gz	FASTQ	DNA	7540824	938794096	50	124.5	132
BlackFly12.trimmed.unpaired.fastq.gz	FASTQ	DNA	1088955	131415918	50	120.7	132
BlackFly13.trimmed.R1.fastq.gz	FASTQ	DNA	4426587	511095778	50	115.5	132
BlackFly13.trimmed.R2.fastq.gz	FASTQ	DNA	4426587	510852409	50	115.4	132
BlackFly13.trimmed.unpaired.fastq.gz	FASTQ	DNA	908088	99581272	50	109.7	132
BlackFly14.trimmed.R1.fastq.gz	FASTQ	DNA	5033248	612441167	50	121.7	132
BlackFly14.trimmed.R2.fastq.gz	FASTQ	DNA	5033248	607755988	50	120.7	132
BlackFly14.trimmed.unpaired.fastq.gz	FASTQ	DNA	1300722	148430620	50	114.1	132
BlackFly15.trimmed.R1.fastq.gz	FASTQ	DNA	5021804	625076703	50	124.5	132
BlackFly15.trimmed.R2.fastq.gz	FASTQ	DNA	5021804	615718148	50	122.6	132
BlackFly15.trimmed.unpaired.fastq.gz	FASTQ	DNA	854761	102999819	50	120.5	132
BlackFly16.trimmed.R1.fastq.gz	FASTQ	DNA	9525125	1194498190	50	125.4	132
BlackFly16.trimmed.R2.fastq.gz	FASTQ	DNA	9525125	1191572601	50	125.1	132
BlackFly16.trimmed.unpaired.fastq.gz	FASTQ	DNA	1740120	207897306	50	119.5	132
BlackFly17.trimmed.R1.fastq.gz	FASTQ	DNA	2802235	305621107	50	109.1	132
BlackFly17.trimmed.R2.fastq.gz	FASTQ	DNA	2802235	304839870	50	108.8	132
BlackFly17.trimmed.unpaired.fastq.gz	FASTQ	DNA	948090	100524545	50	106.0	132
BlackFly18.trimmed.R1.fastq.gz	FASTQ	DNA	3762228	418718984	50	111.3	132
BlackFly18.trimmed.R2.fastq.gz	FASTQ	DNA	3762228	416825280	50	110.8	132
BlackFly18.trimmed.unpaired.fastq.gz	FASTQ	DNA	1285644	139688106	50	108.7	132
BlackFly19.trimmed.R1.fastq.gz	FASTQ	DNA	6449755	796978819	50	123.6	132
BlackFly19.trimmed.R2.fastq.gz	FASTQ	DNA	6449755	786104609	50	121.9	132
BlackFly19.trimmed.unpaired.fastq.gz	FASTQ	DNA	1712227	200184813	50	116.9	132
BlackFly20.trimmed.R1.fastq.gz	FASTQ	DNA	8249586	1034571814	50	125.4	132
BlackFly20.trimmed.R2.fastq.gz	FASTQ	DNA	8249586	1016995395	50	123.3	132
BlackFly20.trimmed.unpaired.fastq.gz	FASTQ	DNA	1970093	235903499	50	119.7	132
BlackFly21.trimmed.R1.fastq.gz	FASTQ	DNA	4207636	485858859	50	115.5	132
BlackFly21.trimmed.R2.fastq.gz	FASTQ	DNA	4207636	483656410	50	114.9	132
BlackFly21.trimmed.unpaired.fastq.gz	FASTQ	DNA	927267	99404091	50	107.2	132
BlackFly22.trimmed.R1.fastq.gz	FASTQ	DNA	2229996	241320185	50	108.2	132
BlackFly22.trimmed.R2.fastq.gz	FASTQ	DNA	2229996	241047415	50	108.1	132
BlackFly22.trimmed.unpaired.fastq.gz	FASTQ	DNA	812577	81517555	50	100.3	132
BlackFly23.trimmed.R1.fastq.gz	FASTQ	DNA	7085751	888824690	50	125.4	132
BlackFly23.trimmed.R2.fastq.gz	FASTQ	DNA	7085751	881488938	50	124.4	132
BlackFly23.trimmed.unpaired.fastq.gz	FASTQ	DNA	1959515	235036607	50	119.9	132
BlackFly24.trimmed.R1.fastq.gz	FASTQ	DNA	2991053	319424699	50	106.8	132
BlackFly24.trimmed.R2.fastq.gz	FASTQ	DNA	2991053	319068396	50	106.7	132
BlackFly24.trimmed.unpaired.fastq.gz	FASTQ	DNA	1126068	114399784	50	101.6	132
BlackFly25.trimmed.R1.fastq.gz	FASTQ	DNA	4018677	466157823	50	116.0	132
BlackFly25.trimmed.R2.fastq.gz	FASTQ	DNA	4018677	465920275	50	115.9	132
BlackFly25.trimmed.unpaired.fastq.gz	FASTQ	DNA	1331395	144131067	50	108.3	132
BlackFly26.trimmed.R1.fastq.gz	FASTQ	DNA	3125526	354875207	50	113.5	132
BlackFly26.trimmed.R2.fastq.gz	FASTQ	DNA	3125526	355263944	50	113.7	132
BlackFly26.trimmed.unpaired.fastq.gz	FASTQ	DNA	1325259	148957117	50	112.4	132
BlackFly27.trimmed.R1.fastq.gz	FASTQ	DNA	6828100	831382560	50	121.8	132
BlackFly27.trimmed.R2.fastq.gz	FASTQ	DNA	6828100	823931085	50	120.7	132
BlackFly27.trimmed.unpaired.fastq.gz	FASTQ	DNA	1973149	228884233	50	116.0	132
BlackFly28.trimmed.R1.fastq.gz	FASTQ	DNA	6659319	817688159	50	122.8	132
BlackFly28.trimmed.R2.fastq.gz	FASTQ	DNA	6659319	809464673	50	121.6	132
BlackFly28.trimmed.unpaired.fastq.gz	FASTQ	DNA	1077894	126506326	50	117.4	132
BlackFly29.trimmed.R1.fastq.gz	FASTQ	DNA	7738596	962162248	50	124.3	132
BlackFly29.trimmed.R2.fastq.gz	FASTQ	DNA	7738596	958269448	50	123.8	132
BlackFly29.trimmed.unpaired.fastq.gz	FASTQ	DNA	1424472	168032198	50	118.0	132
BlackFly30.trimmed.R1.fastq.gz	FASTQ	DNA	8333373	1062281895	50	127.5	132
BlackFly30.trimmed.R2.fastq.gz	FASTQ	DNA	8333373	1057815016	50	126.9	132
BlackFly30.trimmed.unpaired.fastq.gz	FASTQ	DNA	1797010	221235070	50	123.1	132
BlackFly31.trimmed.R1.fastq.gz	FASTQ	DNA	8688156	1113016927	50	128.1	132
BlackFly31.trimmed.R2.fastq.gz	FASTQ	DNA	8688156	1101401878	50	126.8	132
BlackFly31.trimmed.unpaired.fastq.gz	FASTQ	DNA	1798162	221683390	50	123.3	132
BlackFly32.trimmed.R1.fastq.gz	FASTQ	DNA	5685111	702892296	50	123.6	132
BlackFly32.trimmed.R2.fastq.gz	FASTQ	DNA	5685111	694245773	50	122.1	132
BlackFly32.trimmed.unpaired.fastq.gz	FASTQ	DNA	1286328	151815090	50	118.0	132
BlackFly33.trimmed.R1.fastq.gz	FASTQ	DNA	2150816	232823230	50	108.2	132
BlackFly33.trimmed.R2.fastq.gz	FASTQ	DNA	2150816	232295085	50	108.0	132
BlackFly33.trimmed.unpaired.fastq.gz	FASTQ	DNA	596404	63009707	50	105.6	132
BlackFly34.trimmed.R1.fastq.gz	FASTQ	DNA	9015445	1152498514	50	127.8	132
BlackFly34.trimmed.R2.fastq.gz	FASTQ	DNA	9015445	1135612446	50	126.0	132
BlackFly34.trimmed.unpaired.fastq.gz	FASTQ	DNA	2547364	313072977	50	122.9	132
BlackFly35.trimmed.R1.fastq.gz	FASTQ	DNA	6398479	800309025	50	125.1	132
BlackFly35.trimmed.R2.fastq.gz	FASTQ	DNA	6398479	792297498	50	123.8	132
BlackFly35.trimmed.unpaired.fastq.gz	FASTQ	DNA	1665456	197543577	50	118.6	132
BlackFly36.trimmed.R1.fastq.gz	FASTQ	DNA	5481208	682602997	50	124.5	132
BlackFly36.trimmed.R2.fastq.gz	FASTQ	DNA	5481208	678214160	50	123.7	132
BlackFly36.trimmed.unpaired.fastq.gz	FASTQ	DNA	1605793	190613084	50	118.7	132
BlackFly37.trimmed.R1.fastq.gz	FASTQ	DNA	1752408	171331536	50	97.8	132
BlackFly37.trimmed.R2.fastq.gz	FASTQ	DNA	1752408	171198741	50	97.7	132
BlackFly37.trimmed.unpaired.fastq.gz	FASTQ	DNA	1039718	97559960	50	93.8	132
BlackFly38.trimmed.R1.fastq.gz	FASTQ	DNA	3303898	381773154	50	115.6	132
BlackFly38.trimmed.R2.fastq.gz	FASTQ	DNA	3303898	380220775	50	115.1	132
BlackFly38.trimmed.unpaired.fastq.gz	FASTQ	DNA	1282556	138527180	50	108.0	132
BlackFly39.trimmed.R1.fastq.gz	FASTQ	DNA	4723307	542884852	50	114.9	132
BlackFly39.trimmed.R2.fastq.gz	FASTQ	DNA	4723307	542330255	50	114.8	132
BlackFly39.trimmed.unpaired.fastq.gz	FASTQ	DNA	1473844	158460180	50	107.5	132
BlackFly3.trimmed.R1.fastq.gz	FASTQ	DNA	6310431	818644652	50	129.7	132
