Sample;Control
BlackFly10;No
BlackFly11;No
BlackFly12;No
BlackFly13;No
BlackFly14;No
BlackFly15;No
BlackFly16;No
BlackFly17;No
BlackFly18;No
BlackFly19;No
BlackFly20;No
BlackFly21;No
BlackFly22;No
BlackFly23;No
BlackFly24;No
BlackFly25;No
BlackFly26;No
BlackFly27;No
BlackFly28;No
BlackFly29;No
BlackFly3;No
BlackFly30;No
BlackFly31;No
BlackFly32;No
BlackFly33;No
BlackFly34;No
BlackFly35;No
BlackFly36;No
BlackFly37;No
BlackFly38;No
BlackFly39;No
BlackFly4;No
BlackFly40;No
BlackFly41;No
BlackFly42;No
BlackFly43;No
BlackFly44;No
BlackFly45;No
BlackFly46;No
BlackFly47;No
BlackFly48;No
BlackFly49;No
BlackFly5;No
BlackFly50;No
BlackFly51;No
BlackFly52;No
BlackFly53;No
BlackFly55;No
BlackFly57;No
BlackFly58;No
BlackFly59;No
BlackFly6;No
BlackFly7;No
BlackFly8;No
BlackFly9;No
BlackFly_NC_1_Jill;Yes
BlackFly_NC_2_Jill;Yes
BlackFly_NC_3_Jill;Yes
BlackFly_NC_Jara_1;Yes
BlackFly_NC_Jara_2;Yes
BlackFly_NC_Ludovica_1;Yes
BlackFly_NC_Ludovica_2;Yes
