rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A1_length_10941_cov_33.802467_BlackFly17	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	NA	NA	NA
NODE_A1_length_112056_cov_196.930424_BlackFly29	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_145739_cov_4378.993224_BlackFly20	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Henunavirus	NA
NODE_A1_length_147944_cov_50.530186_BlackFly28	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NODE_A1_length_178860_cov_752.098662_BlackFly44	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Straboviridae	Roskildevirus	Roskildevirus cronus
NODE_A1_length_219545_cov_63.599691_BlackFly23	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Noxifervirus	Noxifervirus noxifer
NODE_A1_length_222647_cov_103.919212_BlackFly5	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_224481_cov_213.585814_BlackFly6	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_26678_cov_24.740498_BlackFly33	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Septimatrevirus	Pseudomonas phage PaMx42
NODE_A1_length_27304_cov_161.454255_BlackFly_NC_Jara_1	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_282905_cov_503.825449_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Agricanvirus	Erwinia phage AH06
NODE_A1_length_29594_cov_21.259613_BlackFly7	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_2980_cov_37.704788_BlackFly_NC_Jara_2	NA	NA	NA	NA	NA	NA	NA	Hubei lepidoptera virus 5
NODE_A1_length_39723_cov_66.817056_BlackFly34	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_40427_cov_73.817323_BlackFly11	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
NODE_A1_length_41066_cov_42.948132_BlackFly59	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_43127_cov_149.744692_BlackFly52	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_44824_cov_79.651530_BlackFly24	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_44850_cov_140.644540_BlackFly45	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_45106_cov_132.311088_BlackFly46	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_45264_cov_100.506296_BlackFly58	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_47617_cov_278.480059_BlackFly21	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_48162_cov_113.376313_BlackFly38	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_48882_cov_60.588218_BlackFly53	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_49125_cov_2951.479122_BlackFly42	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_49347_cov_9361.809316_BlackFly50	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Zobellviridae	NA	Erwinia phage Pecta
NODE_A1_length_50053_cov_162.623599_BlackFly14	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_50135_cov_460.227376_BlackFly31	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_51364_cov_115.426697_BlackFly39	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_60093_cov_10932.194731_BlackFly30	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Casjensviridae	Seodaemunguvirus	Seodaemunguvirus YMC16-01N133
NODE_A1_length_62752_cov_2246.284308_BlackFly43	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Casjensviridae	Dunedinvirus	Dunedinvirus JS26
NODE_A1_length_70234_cov_38.959747_BlackFly57	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NODE_A1_length_74294_cov_202.265074_BlackFly12	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
