Original Species	Category	Broad_category
Globisporangium nunn	Fungi	Fungi
Bipolaris maydis	Fungi	Fungi
Aspergillus fumigatus	Fungi	Fungi
Trichoderma harzianum	Fungi	Fungi
Pseudogymnoascus destructans	Fungi	Fungi
Penicillium aurantiogriseum	Fungi	Fungi
Olea	Plants	Plants
Ustilaginoidea virens	Fungi	Fungi
Cytospora ceratosperma	Fungi	Fungi
Botrytis cinerea	Fungi	Fungi
Gongylopus adiposus	Fungi	Fungi
Diplodia seriata	Fungi	Fungi
Diaporthe helianthi	Fungi	Fungi
Aspergillus niger	Fungi	Fungi
Aspergillus creber	Fungi	Fungi
Beauveria bassiana	Fungi	Fungi
Fusarium mangiferae	Fungi	Fungi
Nigrospora sphaerica	Fungi	Fungi
Culicidae	Insects (Mosquitoes)	Invertebrates
Aves	Birds	Vertebrates
Rattus	Mammals (Rodents)	Vertebrates
Colletotrichum liriopes	Fungi	Fungi
Erysiphe necator	Fungi	Fungi
Alternaria tenuissima	Fungi	Fungi
Fusarium sambucinum	Fungi	Fungi
Fusarium concentricum	Fungi	Fungi
Metarhizium brunneum	Fungi	Fungi
Aspergillus nidulans	Fungi	Fungi
Macrophomina phaseolina	Fungi	Fungi
Fusarium equiseti	Fungi	Fungi
Neurospora discreta	Fungi	Fungi
Aspergillus lentulus	Fungi	Fungi
Caloscypha fulgens	Fungi	Fungi
Lactarius rufus	Fungi	Fungi
Plasmopara viticola	Fungi	Fungi
Pseudocercospora eumusae	Fungi	Fungi
Monilinia fructigena	Fungi	Fungi
Sarcosphaera coronaria	Fungi	Fungi
Auricularia heimuer	Fungi	Fungi
Fusarium oxysporum	Fungi	Fungi
Homona magnanima	Insects (Moths)	Invertebrates
Culex	Insects (Mosquitoes)	Invertebrates
Colletotrichum gloeosporioides	Fungi	Fungi
Aspergillus flavus	Fungi	Fungi
Bipolaris oryzae	Fungi	Fungi
Pyricularia oryzae	Fungi	Fungi
Metarhizium flavoviride	Fungi	Fungi
Delitschia confertaspora	Fungi	Fungi
Colletotrichum eremochloae	Fungi	Fungi
Penicillium digitatum	Fungi	Fungi
Pyricularia grisea	Fungi	Fungi
Thelebolus microsporus	Fungi	Fungi
Cryphonectria parasitica	Fungi	Fungi
Gaeumannomyces tritici	Fungi	Fungi
Penicillium brasilianum	Fungi	Fungi
Fusarium graminearum	Fungi	Fungi
Exserohilum turcicum	Fungi	Fungi
Aspergillus ellipticus	Fungi	Fungi
Athelia rolfsii	Fungi	Fungi
Penicillium brevicompactum	Fungi	Fungi
Nigrospora oryzae	Fungi	Fungi
Sclerotinia sclerotiorum	Fungi	Fungi
Eidolon helvum	Mammals (Bats)	Vertebrates
Talaromyces marneffei	Fungi	Fungi
Homo sapiens	Mammals (Primates)	Vertebrates
Entoleuca sp.	Fungi	Fungi
Podosphaera prunicola	Fungi	Fungi
Rosellinia necatrix	Fungi	Fungi
Cryptosporidium parvum	Protozoa	Protozoa
Sipuncula	Invertebrates	Invertebrates
Astacoidea	Crustaceans	Invertebrates
Coleoptera	Insects (Beetles)	Invertebrates
Hexapoda	Insects	Invertebrates
Neoconocephalus	Insects (Katydids)	Invertebrates
Fusarium poae	Fungi	Fungi
Zygosaccharomyces bailii	Fungi	Fungi
Colletotrichum truncatum	Fungi	Fungi
Equus caballus	Mammals (Horses)	Vertebrates
Fusarium vanettenii	Fungi	Fungi
Gremmeniella abietina	Fungi	Fungi
Valsa cypri	Fungi	Fungi
Diaporthe longicolla	Fungi	Fungi
Verticillium albo-atrum	Fungi	Fungi
Botryosphaeria dothidea	Fungi	Fungi
Cytospora sacchari	Fungi	Fungi
Colletotrichum acutatum	Fungi	Fungi
Trifolium repens	Plants	Plants
Medicago lupulina	Plants	Plants
Rhizoctonia solani	Fungi	Fungi
Vitis vinifera	Plants	Plants
Capsicum annuum	Plants	Plants
Heterobasidion abietinum	Fungi	Fungi
Beta vulgaris	Plants	Plants
Daucus carota	Plants	Plants
Chondrostereum purpureum	Fungi	Fungi
Primula malacoides	Plants	Plants
Cryptosporidium sp.	Protozoa	Protozoa
Aspergillus ochraceoroseus	Fungi	Fungi
Vicia faba	Plants	Plants
Pleurotus ostreatus	Fungi	Fungi
Raphanus sativus	Plants	Plants
Helicobasidium mompa	Fungi	Fungi
Discula destructiva	Fungi	Fungi
Aedes aegypti	Insects (Mosquitoes)	Invertebrates
Aedes sp.	Insects (Mosquitoes)	Invertebrates
Pentaneurella katterjokki	Insects (Midges)	Invertebrates
Anser anser domesticus	Birds	Vertebrates
Aedes albopictus	Insects (Mosquitoes)	Invertebrates
Aedes vexans	Insects (Mosquitoes)	Invertebrates
Anatidae	Birds	Vertebrates
Ochlerotatus scapularis	Insects (Mosquitoes)	Invertebrates
Cynopterus brachyotis	Mammals (Bats)	Vertebrates
Gallus gallus	Birds	Vertebrates
Pteropus tonganus	Mammals (Bats)	Vertebrates
Bos taurus	Mammals (Cattle)	Vertebrates
Haemaphysalis longicornis	Arachnids (Ticks)	Invertebrates
Petroica australis	Birds	Vertebrates
Emberiza spodocephala	Birds	Vertebrates
Ramphastos	Birds	Vertebrates
Turdus hortulorum	Birds	Vertebrates
Eucalyptus urophylla	Plants	Plants
Sus scrofa domesticus	Mammals (Pigs)	Vertebrates
Vochysia rufa	Plants	Plants
Byrsonima crassifolia	Plants	Plants
Citrus	Plants	Plants
Carnegiea gigantea	Plants	Plants
Poaceae	Plants	Plants
Macroptilium	Plants	Plants
Avena byzantina	Plants	Plants
Salicornia perennis	Plants	Plants
Passiflora edulis	Plants	Plants
Apocynaceae	Plants	Plants
Lebeckia	Plants	Plants
Asparagus	Plants	Plants
Cynodon	Plants	Plants
Austrosimulium australense	Insects (Black flies)	Invertebrates
Metazoa	Animals	Animals
Melanogrammus aeglefinus	Fish	Vertebrates
Hydrochoerus hydrochaeris	Mammals (Rodents)	Vertebrates
Gopherus agassizii	Reptiles	Vertebrates
Romalea microptera	Insects (Grasshoppers)	Invertebrates
Segestria pacifica	Arachnids (Spiders)	Invertebrates
Cybaeus signifer	Arachnids (Spiders)	Invertebrates
Dendroctonus brevicomis	Insects (Beetles)	Invertebrates
Alces alces	Mammals (Deer)	Vertebrates
Dermacentor variabilis	Arachnids (Ticks)	Invertebrates
Sus scrofa	Mammals (Pigs)	Vertebrates
Canis lupus signatus	Mammals (Canines)	Vertebrates
Bemisia tabaci	Insects (Whiteflies)	Invertebrates
Echinothrips americanus	Insects (Thrips)	Invertebrates
Struthio camelus	Birds	Vertebrates
Oryctolagus cuniculus	Mammals (Rabbits)	Vertebrates
Sturnus vulgaris	Birds	Vertebrates
Turdus merula	Birds	Vertebrates
Solanum lycopersicum	Plants	Plants
Agave fourcroydes	Plants	Plants
Malus domestica	Plants	Plants
Culex idottus	Insects (Mosquitoes)	Invertebrates
Zea mays	Plants	Plants
Dioscorea bulbifera	Plants	Plants
Cyamopsis tetragonoloba	Plants	Plants
Arracacia xanthorrhiza	Plants	Plants
Actinidia chinensis	Plants	Plants
Golovinomyces cichoracearum	Fungi	Fungi
Cucumis melo	Plants	Plants
Nicotiana benthamiana	Plants	Plants
Dypsis lutescens	Plants	Plants
Alternaria brassicicola	Fungi	Fungi
Diospyros virginiana	Plants	Plants
Aedes vittatus	Insects (Mosquitoes)	Invertebrates
Rubus	Plants	Plants
Citrus sinensis	Plants	Plants
Anopheles coustani	Insects (Mosquitoes)	Invertebrates
Vaccinium corymbosum	Plants	Plants
Clitoria ternatea	Plants	Plants
Citrus volkameriana	Plants	Plants
Plumeria rubra	Plants	Plants
Oeciacus vicarius	Insects (Bed bugs)	Invertebrates
Lactuca sativa	Plants	Plants
Buteo jamaicensis	Birds	Vertebrates
Solanum melongena	Plants	Plants
Avena sativa	Plants	Plants
Triticum aestivum	Plants	Plants
Lentinula edodes	Fungi	Fungi
Citrullus lanatus	Plants	Plants
Phlebotominae	Insects (Sand flies)	Invertebrates
Stethorus sp.	Insects (Beetles)	Invertebrates
Culex annulirostris	Insects (Mosquitoes)	Invertebrates
Mansonia titillans	Insects (Mosquitoes)	Invertebrates
Rodentia	Mammals (Rodents)	Vertebrates
Cucurbitaceae	Plants	Plants
Haemaphysalis spinigera	Arachnids (Ticks)	Invertebrates
Malus	Plants	Plants
Dermacentor occidentalis	Arachnids (Ticks)	Invertebrates
Oryza sativa	Plants	Plants
Ixodes ricinus	Arachnids (Ticks)	Invertebrates
Ixodes scapularis	Arachnids (Ticks)	Invertebrates
Phlebotomus major	Insects (Sand flies)	Invertebrates
Lepidoptera	Insects (Moths and Butterflies)	Invertebrates
Diptera	Insects (Flies)	Invertebrates
Choristoneura rosaceana	Insects (Moths)	Invertebrates
Cydia pomonella	Insects (Moths)	Invertebrates
Dermacentor nuttalli	Arachnids (Ticks)	Invertebrates
Phlebotomus perniciosus	Insects (Sand flies)	Invertebrates
Phlebotomus	Insects (Sand flies)	Invertebrates
Tabanidae	Insects (Horse flies)	Invertebrates
Culex quinquefasciatus	Insects (Mosquitoes)	Invertebrates
Aulacorthum magnoliae	Insects (Aphids)	Invertebrates
Acari	Arachnids (Mites)	Invertebrates
Amblyomma americanum	Arachnids (Ticks)	Invertebrates
Rhipicephalus decoloratus	Arachnids (Ticks)	Invertebrates
Lutzomyia	Insects (Sand flies)	Invertebrates
Myriapoda	Arthropods	Invertebrates
Arthropoda	Arthropods	Invertebrates
Araneae	Arachnids (Spiders)	Invertebrates
Odonata	Insects (Dragonflies and Damselflies)	Invertebrates
Ligia exotica	Crustaceans	Invertebrates
Chironomus thummi	Insects (Midges)	Invertebrates
Dermanyssus gallinae	Arachnids (Mites)	Invertebrates
Zeugodacus cucurbitae	Insects (Fruit flies)	Invertebrates
Bactrocera oleae	Insects (Fruit flies)	Invertebrates
Apis mellifera	Insects (Bees)	Invertebrates
Orthetrum chrysostigma	Insects (Dragonflies)	Invertebrates
Argiope bruennichi	Arachnids (Spiders)	Invertebrates
Frankliniella intonsa	Insects (Thrips)	Invertebrates
Culex bitaeniorhynchus	Insects (Mosquitoes)	Invertebrates
Vespula vulgaris	Insects (Wasps)	Invertebrates
Anisopteromalus calandrae	Insects (Wasps)	Invertebrates
Bactrocera tryoni	Insects (Fruit flies)	Invertebrates
Acheta domesticus	Insects (Crickets)	Invertebrates
Neohydatothrips variabilis	Insects (Thrips)	Invertebrates
Fringilla montifringilla	Birds	Vertebrates
Diospyros kaki	Plants	Plants
Procambarus clarkii	Crustaceans	Invertebrates
Capsicum frutescens	Plants	Plants
Arabidopsis thaliana	Plants	Plants
Melipona quadrifasciata quadrifasciata	Insects (Bees)	Invertebrates
Solenopsis invicta	Insects (Ants)	Invertebrates
Drosophila kikkawai	Insects (Fruit flies)	Invertebrates
Trifolium pratense	Plants	Plants
Linepithema humile	Insects (Ants)	Invertebrates
Aphis fabae	Insects (Aphids)	Invertebrates
Prunus persica	Plants	Plants
Lasius neglectus	Insects (Ants)	Invertebrates
Myrmica scabrinodis	Insects (Ants)	Invertebrates
Lasius niger	Insects (Ants)	Invertebrates
Merostomata	Arthropods	Invertebrates
Orthoptera	Insects (Grasshoppers and Crickets)	Invertebrates
Diabrotica virgifera virgifera	Insects (Beetles)	Invertebrates
Nylanderia fulva	Insects (Ants)	Invertebrates
Cucurbita moschata	Plants	Plants
Phoca vitulina	Mammals (Seals)	Vertebrates
Lemur catta	Mammals (Primates)	Vertebrates
Rattus norvegicus	Mammals (Rodents)	Vertebrates
