Family	Accession
Flaviviridae	KC505248.1
Flaviviridae	AF160193.1
Flaviviridae	GQ165809.2
Flaviviridae	KJ469371.1
Flaviviridae	KJ469370.1
Flaviviridae	KJ469372.1
Flaviviridae	AF144692.1
Flaviviridae	JQ268258.1
Flaviviridae	DQ859057.1
Flaviviridae	DQ859062.1
Flaviviridae	DQ859066.1
Flaviviridae	DQ859067.1
Flaviviridae	DQ859056.1
Flaviviridae	DQ859065.1
Flaviviridae	DQ859060.1
Flaviviridae	DQ235146.1
Flaviviridae	DQ235151.1
Flaviviridae	DQ235152.1
Flaviviridae	DQ235153.1
Flaviviridae	DQ235145.1
Flaviviridae	DQ235149.1
Flaviviridae	DQ235144.1
Flaviviridae	DQ235150.1
Flaviviridae	KF917536.1
Flaviviridae	AY323490.1
Flaviviridae	DQ837641.1
Flaviviridae	HE574574.1
Flaviviridae	AJ242984.1
Flaviviridae	AF326573.1
Flaviviridae	D00246.1
Flaviviridae	KF815939.1
Flaviviridae	AF331718.1
Flaviviridae	AJ299445.1
Flaviviridae	M91671.1
Flaviviridae	M93130.1
Flaviviridae	AY632540.2
Flaviviridae	U87411.1
Flaviviridae	U88536.1
Flaviviridae	AY632539.4
Flaviviridae	AY193805.1
Flaviviridae	DQ837642.1
Flaviviridae	AY632535.2
Flaviviridae	AF311056.1
Flaviviridae	EU707555.1
Flaviviridae	AY632536.4
Flaviviridae	AB377213.1
Flaviviridae	L06436.1
Flaviviridae	AB114858.1
Flaviviridae	X03700.1
Flaviviridae	AB981186.1
Flaviviridae	KC464457.1
Flaviviridae	FJ644291.1
Flaviviridae	Y07863.1
Flaviviridae	AY632541.4
Flaviviridae	KT192549.1
Flaviviridae	L40361.3
Flaviviridae	KP688058.1
Flaviviridae	DQ525916.1
Flaviviridae	AY632545.2
Flaviviridae	JX236040.3
Flaviviridae	AF253419.1
Flaviviridae	M12294.2
Flaviviridae	M18370.1
Flaviviridae	JF895923.2
Flaviviridae	AF161266.1
Flaviviridae	AB488408.1
Flaviviridae	AY453411.1
Flaviviridae	U27495.1
Flaviviridae	AY149905.1
	Blackfly_flavivirus
Rhabdoviridae	NC_025395
Rhabdoviridae	NC_025393
Rhabdoviridae	NC_039200
Rhabdoviridae	NC_031958
Rhabdoviridae	NC_031957
Rhabdoviridae	NC_040602
Rhabdoviridae	NC_077158
Rhabdoviridae	NC_033701
Rhabdoviridae	NC_033705
Rhabdoviridae	NC_032907
Rhabdoviridae	NC_076415
Rhabdoviridae	NC_031079
Rhabdoviridae	NC_031304
Rhabdoviridae	NC_076686
Rhabdoviridae	NC_075981
Rhabdoviridae	NC_075990
Rhabdoviridae	NC_028234
Rhabdoviridae	NC_025362
Rhabdoviridae	NC_055531
Rhabdoviridae	NC_055532
Rhabdoviridae	NC_043525
Rhabdoviridae	NC_055138
Rhabdoviridae	NC_055137
Rhabdoviridae	NC_025406
Rhabdoviridae	NC_039201
Rhabdoviridae	NC_034544
Rhabdoviridae	NC_034536
Rhabdoviridae	NC_034534
Rhabdoviridae	NC_028246
Rhabdoviridae	NC_025358
Rhabdoviridae	NC_002526
Rhabdoviridae	NC_076261
Rhabdoviridae	NC_076208
Rhabdoviridae	NC_025396
Rhabdoviridae	NC_025400
Rhabdoviridae	NC_028239
Rhabdoviridae	NC_017714
Rhabdoviridae	NC_017685
Rhabdoviridae	NC_076260
Rhabdoviridae	NC_028241
Rhabdoviridae	NC_076930
Rhabdoviridae	NC_039202
Rhabdoviridae	NC_034541
Rhabdoviridae	NC_034447
Rhabdoviridae	NC_055473
Rhabdoviridae	NC_034538
Rhabdoviridae	NC_034450
Rhabdoviridae	NC_034537
Rhabdoviridae	NC_034533
Rhabdoviridae	NC_034531
Rhabdoviridae	NC_034530
Rhabdoviridae	NC_034448
Rhabdoviridae	NC_038275
Rhabdoviridae	NC_013955
Rhabdoviridae	NC_034543
Rhabdoviridae	NC_034449
Rhabdoviridae	NC_076929
Rhabdoviridae	NC_011639
Rhabdoviridae	NC_034535
Rhabdoviridae	NC_076494
Rhabdoviridae	NC_034545
Rhabdoviridae	NC_025341
Rhabdoviridae	NC_034454
Rhabdoviridae	NC_039020
Rhabdoviridae	NC_034451
Rhabdoviridae	NC_034540
Rhabdoviridae	NC_025342
Rhabdoviridae	NC_028236
Rhabdoviridae	NC_034443
Rhabdoviridae	NC_077130
Rhabdoviridae	NC_038276
Rhabdoviridae	NC_034539
Rhabdoviridae	NC_034548
Rhabdoviridae	NC_076841
Rhabdoviridae	NC_043538
Rhabdoviridae	NC_031301
Rhabdoviridae	NC_031305
Rhabdoviridae	NC_020808
Rhabdoviridae	NC_003243
Rhabdoviridae	NC_025251
Rhabdoviridae	NC_025377
Rhabdoviridae	NC_020810
Rhabdoviridae	NC_055474
Rhabdoviridae	NC_031988
Rhabdoviridae	NC_009527
Rhabdoviridae	NC_009528
Rhabdoviridae	NC_018629
Rhabdoviridae	NC_020809
Rhabdoviridae	NC_025385
Rhabdoviridae	NC_020807
Rhabdoviridae	NC_031955
Rhabdoviridae	NC_006429
Rhabdoviridae	NC_001542
Rhabdoviridae	NC_025365
Rhabdoviridae	NC_040599
Rhabdoviridae	NC_025384
Rhabdoviridae	NC_025359
Rhabdoviridae	NC_075304
Rhabdoviridae	NC_035132
Rhabdoviridae	NC_076400
Rhabdoviridae	NC_055293
Rhabdoviridae	NC_055477
Rhabdoviridae	NC_076182
Rhabdoviridae	NC_040669
Rhabdoviridae	NC_028484
Rhabdoviridae	NC_022581
Rhabdoviridae	NC_020803
Rhabdoviridae	NC_038277
Rhabdoviridae	NC_076534
Rhabdoviridae	NC_075982
Rhabdoviridae	NC_025340
Rhabdoviridae	NC_055457
Rhabdoviridae	NC_055461
Rhabdoviridae	NC_025387
Rhabdoviridae	NC_038278
Rhabdoviridae	NC_038279
Rhabdoviridae	NC_076146
Rhabdoviridae	NC_031278
Rhabdoviridae	NC_031302
Rhabdoviridae	NC_033034
Rhabdoviridae	NC_038280
Rhabdoviridae	NC_031240
Rhabdoviridae	NC_038281
Rhabdoviridae	NC_043066
Rhabdoviridae	NC_033103
Rhabdoviridae	NC_022580
Rhabdoviridae	NC_031215
Rhabdoviridae	NC_076145
Rhabdoviridae	NC_043065
Rhabdoviridae	NC_031282
Rhabdoviridae	NC_033070
Rhabdoviridae	NC_077114
Rhabdoviridae	NC_008514
Rhabdoviridae	NC_002803
Rhabdoviridae	NC_025356
Rhabdoviridae	NC_025376
Rhabdoviridae	NC_025371
Rhabdoviridae	NC_025391
Rhabdoviridae	NC_034550
Rhabdoviridae	NC_076030
Rhabdoviridae	NC_055509
Rhabdoviridae	NC_034529
Rhabdoviridae	NC_025405
Rhabdoviridae	NC_034542
Rhabdoviridae	NC_076937
Rhabdoviridae	NC_076934
Rhabdoviridae	NC_076931
Rhabdoviridae	NC_076211
Rhabdoviridae	NC_055530
Rhabdoviridae	NC_055460
Rhabdoviridae	NC_076935
Rhabdoviridae	NC_055456
Rhabdoviridae	NC_076938
Rhabdoviridae	NC_076933
Rhabdoviridae	NC_025399
Rhabdoviridae	NC_076936
Rhabdoviridae	NC_076932
Rhabdoviridae	NC_025401
Rhabdoviridae	NC_028232
Rhabdoviridae	NC_077123
Rhabdoviridae	NC_038282
Rhabdoviridae	NC_039021
Rhabdoviridae	NC_038283
Rhabdoviridae	NC_025397
Rhabdoviridae	NC_043067
Rhabdoviridae	NC_077192
Rhabdoviridae	NC_034546
Rhabdoviridae	NC_020804
Rhabdoviridae	NC_038284
Rhabdoviridae	NC_034549
Rhabdoviridae	NC_077129
Rhabdoviridae	NC_007020
Rhabdoviridae	NC_025353
Rhabdoviridae	NC_025378
Rhabdoviridae	NC_038285
Rhabdoviridae	NC_020805
Rhabdoviridae	NC_028255
Rhabdoviridae	NC_022755
Rhabdoviridae	NC_038236
Rhabdoviridae	NC_020806
Rhabdoviridae	NC_039206
Rhabdoviridae	NC_025364
Rhabdoviridae	NC_025255
Rhabdoviridae	NC_076939
Rhabdoviridae	NC_077111
Rhabdoviridae	NC_034508
Rhabdoviridae	NC_024473
Rhabdoviridae	NC_025394
Rhabdoviridae	NC_038286
Rhabdoviridae	NC_038287
Rhabdoviridae	NC_076842
Rhabdoviridae	NC_040664
Rhabdoviridae	NC_076970
Rhabdoviridae	NC_006942
Rhabdoviridae	NC_076163
Rhabdoviridae	NC_076913
Rhabdoviridae	NC_005975
Rhabdoviridae	NC_025389
Rhabdoviridae	NC_055512
Rhabdoviridae	NC_003746
Rhabdoviridae	NC_055466
Rhabdoviridae	NC_076448
Rhabdoviridae	NC_055484
Rhabdoviridae	NC_016136
Rhabdoviridae	NC_036390
Rhabdoviridae	NC_076972
Rhabdoviridae	NC_076532
Rhabdoviridae	NC_076430
Rhabdoviridae	NC_077151
Rhabdoviridae	NC_028231
Rhabdoviridae	NC_076267
Rhabdoviridae	NC_076973
Rhabdoviridae	NC_001615
Rhabdoviridae	NC_076974
Rhabdoviridae	NC_076510
Rhabdoviridae	NC_076244
Rhabdoviridae	NC_076290
Rhabdoviridae	NC_031225
Rhabdoviridae	NC_076975
Rhabdoviridae	NC_076971
Rhabdoviridae	NC_076531
Rhabdoviridae	NC_076976
Rhabdoviridae	NC_076289
Rhabdoviridae	NC_031227
Rhabdoviridae	NC_055479
Rhabdoviridae	NC_076864
Rhabdoviridae	NC_055504
Rhabdoviridae	NC_076914
Rhabdoviridae	NC_034551
Rhabdoviridae	NC_055505
Rhabdoviridae	NC_055567
Rhabdoviridae	NC_076239
Rhabdoviridae	NC_031232
Rhabdoviridae	NC_076977
Rhabdoviridae	NC_002251
Rhabdoviridae	NC_028244
Rhabdoviridae	NC_011532
Rhabdoviridae	NC_007642
Rhabdoviridae	NC_034240
Rhabdoviridae	NC_055454
Rhabdoviridae	NC_028237
Rhabdoviridae	NC_076979
Rhabdoviridae	NC_076978
Rhabdoviridae	NC_040786
Rhabdoviridae	NC_018381
Rhabdoviridae	NC_076909
Rhabdoviridae	NC_055529
Rhabdoviridae	NC_076980
Rhabdoviridae	NC_076981
Rhabdoviridae	NC_076472
Rhabdoviridae	NC_055208
Rhabdoviridae	NC_043649
Rhabdoviridae	NC_038755
Rhabdoviridae	NC_052231
Rhabdoviridae	NC_009609
Rhabdoviridae	NC_005974
Rhabdoviridae	NC_079127
Rhabdoviridae	NC_026801
Rhabdoviridae	NC_079120
Rhabdoviridae	NC_011568
Rhabdoviridae	NC_079122
Rhabdoviridae	NC_079123
Rhabdoviridae	NC_076982
Rhabdoviridae	NC_078467
Rhabdoviridae	NC_079051
Rhabdoviridae	NC_079126
Rhabdoviridae	NC_005093
Rhabdoviridae	NC_000855
Rhabdoviridae	NC_001652
Rhabdoviridae	NC_000903
Rhabdoviridae	NC_032739
Rhabdoviridae	NC_032781
Rhabdoviridae	NC_031283
Rhabdoviridae	NC_031216
Rhabdoviridae	NC_076489
Rhabdoviridae	NC_076487
Rhabdoviridae	NC_076250
Rhabdoviridae	NC_076927
Rhabdoviridae	NC_076926
Rhabdoviridae	NC_076501
Rhabdoviridae	NC_033267
Rhabdoviridae	NC_076157
Rhabdoviridae	NC_025382
Rhabdoviridae	NC_076490
Rhabdoviridae	NC_055290
Rhabdoviridae	NC_079128
Rhabdoviridae	NC_026798
Rhabdoviridae	NC_079119
Rhabdoviridae	NC_079121
Rhabdoviridae	NC_079124
Rhabdoviridae	NC_078466
Rhabdoviridae	NC_079052
Rhabdoviridae	NC_079125
Rhabdoviridae	NC_055291
Rhabdoviridae	NC_055292
