Accession,Host,Host source
YP_010799556,Fusarium graminearum,fungi
YP_009553330,Trichoderma harzianum,fungi
YP_009011065,Fusarium graminearum,fungi
YP_008327312,Ustilaginoidea virens,fungi
WWV86520,Pipistrellus pipistrellus,vertebrates
WVL03082,Ochlerotatus vigilax,invertebrates
WTM26314,Coprinus comatus,fungi
WNA08356,Colletotrichum alienum,fungi
WMY82295,Diplodia fraxini,fungi
WKR37730,Plenodomus biglobosus,fungi
WKE35338,Waitea circinata,fungi
WJN00260,Fusarium oxysporum,fungi
WHN53930,Fusarium incarnatum,fungi
WGJ63525,Saccharomyces cerevisiae,fungi
WGH72972,Trichoderma harzianum,fungi
WGH28803,Saccharomyces cerevisiae,fungi
WGH28806,Saccharomyces cerevisiae,fungi
WFJ08489,Botryosphaeria dothidea,fungi
BED98293,Aspergillus flavus,fungi
WEI52980,Curculionidae,invertebrates
WAK75572,Dermacentor silvarum,invertebrates
UYL95491,Rhipicephalus sanguineus,invertebrates
UVZ34176,Botryosphaeria dothidea,fungi
UUW20935,Lindernia procumbens,plants
UTQ50845,NA,NA
UOK20169,Diplodia seriata,fungi
UDL14330,NA,NA
UDL14334,NA,NA
UDL14340,NA,NA
UDL14413,NA,NA
UDL14424,NA,NA
BDB16242,Aspergillus creber,fungi
QKK35392,Erysiphe necator,fungi
QJW70316,Erysiphe necator,fungi
QJW70318,Erysiphe necator,fungi
QJW70322,Erysiphe necator,fungi
BCP96877,Fusarium concentricum,fungi
QQZ02313,Aspergillus nidulans,fungi
QOW77954,Fusarium equiseti,fungi
QNQ74068,Plasmopara viticola,oomycetes
QED42950,Monilinia fructigena,fungi
BCD56387,NA,NA
QHD64801,Plasmopara viticola,oomycetes
QHD64804,Plasmopara viticola,oomycetes
QHD64807,Plasmopara viticola,oomycetes
AZT88590,Colletotrichum eremochloae,fungi
CUS18591,Beauveria bassiana,fungi
AGJ03719,Ustilaginoidea virens,fungi
AFX73023,Vitis vinifera,plants
