Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
DBA08161,birds-foot trefoil-associated virus,,BK010826,SRR364671,"Dietzgen,R.G., Innes,D.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Lenardon,S., Debat,H.J.",2023-05-17,LC,Betanucleorhabdovirus loti,Betanucleorhabdovirus,Rhabdoviridae,ssRNA(-),462,GenBank,,,3,nucleocapsid protein,,,,Lotus corniculatus,,,,,TPA_asm: nucleocapsid protein [birds-foot trefoil-associated virus]
DBA08162,birds-foot trefoil-associated virus,,BK010826,SRR364671,"Dietzgen,R.G., Innes,D.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Lenardon,S., Debat,H.J.",2023-05-17,LC,Betanucleorhabdovirus loti,Betanucleorhabdovirus,Rhabdoviridae,ssRNA(-),344,GenBank,,,3,phosphoprotein,,,,Lotus corniculatus,,,,,TPA_asm: phosphoprotein [birds-foot trefoil-associated virus]
DBA08163,birds-foot trefoil-associated virus,,BK010826,SRR364671,"Dietzgen,R.G., Innes,D.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Lenardon,S., Debat,H.J.",2023-05-17,LC,Betanucleorhabdovirus loti,Betanucleorhabdovirus,Rhabdoviridae,ssRNA(-),325,GenBank,,,3,putative cell-to-cell movement protein,,,,Lotus corniculatus,,,,,TPA_asm: putative cell-to-cell movement protein [birds-foot trefoil-associated virus]
DBA08164,birds-foot trefoil-associated virus,,BK010826,SRR364671,"Dietzgen,R.G., Innes,D.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Lenardon,S., Debat,H.J.",2023-05-17,LC,Betanucleorhabdovirus loti,Betanucleorhabdovirus,Rhabdoviridae,ssRNA(-),294,GenBank,,,3,matrix protein,,,,Lotus corniculatus,,,,,TPA_asm: matrix protein [birds-foot trefoil-associated virus]
DBA08165,birds-foot trefoil-associated virus,,BK010826,SRR364671,"Dietzgen,R.G., Innes,D.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Lenardon,S., Debat,H.J.",2023-05-17,LC,Betanucleorhabdovirus loti,Betanucleorhabdovirus,Rhabdoviridae,ssRNA(-),637,GenBank,,,3,glycoprotein,,,,Lotus corniculatus,,,,,TPA_asm: glycoprotein [birds-foot trefoil-associated virus]
DBA08166,birds-foot trefoil-associated virus,,BK010826,SRR364671,"Dietzgen,R.G., Innes,D.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Lenardon,S., Debat,H.J.",2023-05-17,LC,Betanucleorhabdovirus loti,Betanucleorhabdovirus,Rhabdoviridae,ssRNA(-),2104,GenBank,,,3,RNA-dependent RNA polymerase,,,,Lotus corniculatus,,,,,TPA_asm: RNA-dependent RNA polymerase [birds-foot trefoil-associated virus]
WGL21405,Killamcar virus 1,,OQ368743,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,PP32,Killamcar virus 1,,Rhabdoviridae,ssRNA(-),339,GenBank,,,1,nucleoprotein,"USA: Indiana, Killmore Creek near Mulberry",USA,IN,Lampsilis cardium,,2019-07-02,,,nucleoprotein [Killamcar virus 1]
WGL21406,Killamcar virus 1,,OQ368743,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,PP32,Killamcar virus 1,,Rhabdoviridae,ssRNA(-),347,GenBank,,,1,phosphoprotein,"USA: Indiana, Killmore Creek near Mulberry",USA,IN,Lampsilis cardium,,2019-07-02,,,phosphoprotein [Killamcar virus 1]
WGL21407,Killamcar virus 1,,OQ368743,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,PP32,Killamcar virus 1,,Rhabdoviridae,ssRNA(-),184,GenBank,,,1,matrix protein,"USA: Indiana, Killmore Creek near Mulberry",USA,IN,Lampsilis cardium,,2019-07-02,,,matrix protein [Killamcar virus 1]
WGL21408,Killamcar virus 1,,OQ368743,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,PP32,Killamcar virus 1,,Rhabdoviridae,ssRNA(-),510,GenBank,,,1,glycoprotein,"USA: Indiana, Killmore Creek near Mulberry",USA,IN,Lampsilis cardium,,2019-07-02,,,glycoprotein [Killamcar virus 1]
WGL21409,Killamcar virus 1,,OQ368743,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,PP32,Killamcar virus 1,,Rhabdoviridae,ssRNA(-),462,GenBank,,,1,glycoprotein,"USA: Indiana, Killmore Creek near Mulberry",USA,IN,Lampsilis cardium,,2019-07-02,,,glycoprotein [Killamcar virus 1]
WGL21410,Killamcar virus 1,,OQ368743,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,PP32,Killamcar virus 1,,Rhabdoviridae,ssRNA(-),2081,GenBank,,,1,RNA-dependent RNA polymerase,"USA: Indiana, Killmore Creek near Mulberry",USA,IN,Lampsilis cardium,,2019-07-02,,,RNA-dependent RNA polymerase [Killamcar virus 1]
WGL21411,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),451,GenBank,,,1,nucleoprotein,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,nucleoprotein [Chemarfal virus 1]
WGL21412,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),373,GenBank,,,1,phosphoprotein,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,phosphoprotein [Chemarfal virus 1]
WGL21413,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),212,GenBank,,,1,matrix protein,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,matrix protein [Chemarfal virus 1]
WGL21414,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),162,GenBank,,,1,hypothetical protein,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,hypothetical protein [Chemarfal virus 1]
WGL21415,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),169,GenBank,,,1,hypothetical protein,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,hypothetical protein [Chemarfal virus 1]
WGL21416,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),537,GenBank,,,1,glycoprotein,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,glycoprotein [Chemarfal virus 1]
WGL21417,Chemarfal virus 1,,OQ368744,,"Goldberg,T.L., Blevins,E., Leis,E.M., Standish,I.F., Richard,J.C., Lueder,M.R., Cer,R.Z., Bishop-Lilly,K.A., Standsh,I.F.",2023-04-30,CWS06,Chemarfal virus 1,,Rhabdoviridae,ssRNA(-),1977,GenBank,,,1,RNA-dependent RNA polymerase,"USA: Washington, Chehalis River near Oakville",USA,WA,Margaritifera falcata,,2018-09-26,,,RNA-dependent RNA polymerase [Chemarfal virus 1]
WGC86344,Bat tupavirus BS1,,OQ709183,SRR23263250,"Wang,J., Pan,Y.-F., Yang,L.-F., Yang,W.-H., Luo,C.-M., Kuang,G.-P., Wu,W.-C., Gou,Q.-Y., Xin,G.-Y., Li,B., Luo,H.-L., Chen,Y.-Q., Shu,Y.-L., Guo,D., Gao,Z.-H., Liang,G.-D., Li,J., Holmes,E.C., Feng,Y., Shi,M.",2023-04-19,BtTV/RsBS01,Bat tupavirus BS1,Tupavirus,Rhabdoviridae,ssRNA(-),2107,GenBank,,,,RNA polymerase,China: Yunnan,China,,Rhinolophus stheno,,2015,SAMN32950963,PRJNA929070,MAG: RNA polymerase [Bat tupavirus BS1]
WGC86345,Bat tupavirus BS2,,OQ709184,SRR23263261,"Wang,J., Pan,Y.-F., Yang,L.-F., Yang,W.-H., Luo,C.-M., Kuang,G.-P., Wu,W.-C., Gou,Q.-Y., Xin,G.-Y., Li,B., Luo,H.-L., Chen,Y.-Q., Shu,Y.-L., Guo,D., Gao,Z.-H., Liang,G.-D., Li,J., Holmes,E.C., Feng,Y., Shi,M.",2023-04-19,BtTV/AsBS02,Bat tupavirus BS2,Tupavirus,Rhabdoviridae,ssRNA(-),430,GenBank,,,,nucleocapsid protein,China: Yunnan,China,,Aselliscus stoliczkanus,,2017,SAMN32950855,PRJNA929070,MAG: nucleocapsid protein [Bat tupavirus BS2]
WGC86346,Bat tupavirus BS2,,OQ709184,SRR23263261,"Wang,J., Pan,Y.-F., Yang,L.-F., Yang,W.-H., Luo,C.-M., Kuang,G.-P., Wu,W.-C., Gou,Q.-Y., Xin,G.-Y., Li,B., Luo,H.-L., Chen,Y.-Q., Shu,Y.-L., Guo,D., Gao,Z.-H., Liang,G.-D., Li,J., Holmes,E.C., Feng,Y., Shi,M.",2023-04-19,BtTV/AsBS02,Bat tupavirus BS2,Tupavirus,Rhabdoviridae,ssRNA(-),375,GenBank,,,,phosphoprotein,China: Yunnan,China,,Aselliscus stoliczkanus,,2017,SAMN32950855,PRJNA929070,MAG: phosphoprotein [Bat tupavirus BS2]
WGC86347,Bat tupavirus BS2,,OQ709184,SRR23263261,"Wang,J., Pan,Y.-F., Yang,L.-F., Yang,W.-H., Luo,C.-M., Kuang,G.-P., Wu,W.-C., Gou,Q.-Y., Xin,G.-Y., Li,B., Luo,H.-L., Chen,Y.-Q., Shu,Y.-L., Guo,D., Gao,Z.-H., Liang,G.-D., Li,J., Holmes,E.C., Feng,Y., Shi,M.",2023-04-19,BtTV/AsBS02,Bat tupavirus BS2,Tupavirus,Rhabdoviridae,ssRNA(-),95,GenBank,,,,small hydrophobic protein,China: Yunnan,China,,Aselliscus stoliczkanus,,2017,SAMN32950855,PRJNA929070,MAG: small hydrophobic protein [Bat tupavirus BS2]
