Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
QZA87341,Tunisian sheep-like pestivirus,,MZ664274,,"Postel,A., Smith,D.B., Becher,P., Fischer,N.",2021-08-23,,Pestivirus N,Pestivirus,Flaviviridae,ssRNA(+),3894,GenBank,,,,polyprotein,Italy,Italy,,Capra hircus,,2007,,,polyprotein [Tunisian sheep-like pestivirus]
QIE06436,Dongyang pangolin virus,set:MK636874,MK636874,,"Gao,W.-H., Tan,Z.-Z., Chen,Y.-M., Zhang,Y.-Z.",2020-03-02,DYAJ1,Pestivirus P,Pestivirus,Flaviviridae,ssRNA(+),3870,GenBank,,,,polyprotein,China,China,,,,2018,,,polyprotein [Dongyang pangolin virus]
QFQ60722,Phocoena pestivirus,set:MK910227,MK910227,,"Jo,W.K., van Elk,C., van de Bildt,M., van Run,P., Petry,M., Jesse,S.T., Jung,K., Ludlow,M., Kuiken,T., Osterhaus,A.",2019-10-23,NS170385,Pestivirus M,Pestivirus,Flaviviridae,ssRNA(+),3761,GenBank,,,1,polyprotein,Netherlands,Netherlands,,Phocoena phocoena,lung,2012,,,polyprotein [Phocoena pestivirus]
QDJ94981,ovine/IT pestivirus,set:MK618726,MK618726,,"Sozzi,E., Lavazza,A., Gaffuri,A., Bencetti,F.C., Prosperi,A., Lelli,D., Chiapponi,C., Moreno,A., Baioni,L.",2019-07-15,ovine/It/338710-3/2017,Pestivirus O,Pestivirus,Flaviviridae,ssRNA(+),3894,GenBank,,,,polyprotein,Italy,Italy,,Ovis aries,,2017-12,,,polyprotein [ovine/IT pestivirus]
AYV99177,Bat pestivirus BtSk-PestV-1/GX2017,set:MH282908,MH282908,,"Wu,Z., Liu,B., Du,J., Zhang,J., Lu,L., Zhu,G., Han,Y., Su,H., Yang,L., Zhang,S., Liu,Q., Jin,Q.",2018-11-21,BtSk-PestV-1/GX2017,Pestivirus S,Pestivirus,Flaviviridae,ssRNA(+),3663,GenBank,,,1,polyprotein,China,China,,Scotophilus kuhlii,,2017-07,,,polyprotein [Bat pestivirus BtSk-PestV-1/GX2017]
ATP66855,Rodent pestivirus,set:KY370100,KY370100,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2017-12-31,RtAp-PestV/JL2014,Rodent pestivirus,Pestivirus,Flaviviridae,ssRNA(+),3989,GenBank,,,1,polyprotein,China,China,,Apodemus peninsulae,,2014-08,,,polyprotein [Rodent pestivirus]
ATP66856,Rodent pestivirus,set:KY370101,KY370101,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2017-12-31,RtNn-PestV/HuB2014,Rodent pestivirus,Pestivirus,Flaviviridae,ssRNA(+),4023,GenBank,,,1,polyprotein,China,China,,Niviventer niviventer,,2014-12,,,polyprotein [Rodent pestivirus]
ARB08102,Zika virus,set:KY766069,KY766069,,"Cao-Lormeau,V.-M., Diancourt,L., Vandenbogaert,M., Caro,V.",2017-12-14,Pf13/251013-18,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),3423,GenBank,,,,polyprotein,French Polynesia,French Polynesia,,Homo sapiens,,2013-10-25,,,polyprotein [Zika virus]
AQV09561,Norway rat hepacivirus 1,set:KX905133,KX905133,,"Trivedi,S., Murthy,S., Sharma,H., Hartlage,A.S., Kumar,A., Gadi,S., Simmonds,P., Chauhan,L.V., Scheel,T.K.H., Billerbeck,E., Burbelo,P.D., Rice,C.M., Lipkin,W.I., Vandergrift,K., Cullen,J.M., Kapoor,A.",2017-09-06,rn-1,Hepacivirus ratti,Hepacivirus,Flaviviridae,ssRNA(+),2958,GenBank,,,1,polyprotein,USA,USA,,Rattus norvegicus,blood,2015,,,polyprotein [Norway rat hepacivirus 1]
ASD34121,Linda virus,set:KY436034,KY436034,,"Lamp,B., Schwarz,L., Hogler,S., Riedel,C., Sinn,L., Rebel-Bauder,B., Weissenbock,H., Ladinig,A., Rumenapf,T., Ruemenapf,T.",2017-06-27,,Pestivirus L,Pestivirus,Flaviviridae,ssRNA(+),3923,GenBank,,,1,polyprotein,Austria,Austria,,Sus scrofa,,2015,,,polyprotein [Linda virus]
