Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_009507948,Verticillium dahliae chrysovirus 1,RefSeq,GCF_002867345.1,NC_038784,,"Cao,Y.F., Zhu,X.W., Xiang,Y., Li,D.Q., Yang,J.R., Mao,Q.Z., Chen,J.S.",2018-08-24,,Alphachrysovirus verticillii,Alphachrysovirus,Chrysoviridae,dsRNA,1108,,1,1,RNA-dependent RNA polymerase,China,China,,Verticillium dahliae,,2010-02,,PRJNA485481,RNA-dependent RNA polymerase [Verticillium dahliae chrysovirus 1]
YP_009259368,Sclerotinia nivalis victorivirus 1,RefSeq,GCF_001678415.1,NC_030392,,"Wu,M., Li,G.",2016-06-30,SsSn-1.v,Sclerotinia nivalis victorivirus 1,Victorivirus,Totiviridae,dsRNA,833,,,,RNA-dependent RNA polymerase,,,,Sclerotinia nivalis,,,,PRJNA485481,RNA-dependent RNA polymerase [Sclerotinia nivalis victorivirus 1]
YP_009182332,Penicillium janczewskii chrysovirus 1,RefSeq,GCF_001461245.1,NC_028495,,"Nerva,L., Ciuffo,M., Vallino,M., Margaria,P., Varese,G.C., Gnavi,G., Turina,M.",2015-12-03,,Betachrysovirus pripenicillii,Betachrysovirus,Chrysoviridae,dsRNA,1126,,RNA 1,1,127 kDa protein,Italy,Italy,,Penicillium janczewskii,,2014,,PRJNA485481,127 kDa protein [Penicillium janczewskii chrysovirus 1]
WMC21261,Rhizopus stolonifer toti-like virus 1,GenBank,,OR089090,,"Sun,L.",2023-08-27,A2-1,Rhizopus stolonifer toti-like virus 1,,Totiviridae,dsRNA,827,,,,RdRp,China,China,,Rhizopus stolonifer,,2022,,,RdRp [Rhizopus stolonifer toti-like virus 1]
UVG55906,Poaceae Liege alphachrysovirus 2,GenBank,,OL330738,,"Maclot,F., Debue,V., Malmstrom,C., Filloux,D., Roumagnac,P., Eck,M., Tamisier,L., Blouin,A.G., Candresse,T., Massart,S.",2023-02-28,Latinne,Poaceae Liege alphachrysovirus 2,Alphachrysovirus,Chrysoviridae,dsRNA,1119,,RNA1,,putative RNA-dependent RNA polymerase,Belgium,Belgium,,,,2018,,,putative RNA-dependent RNA polymerase [Poaceae Liege alphachrysovirus 2]
UYL95653,Tonghua Totiv tick virus 1,GenBank,,ON746545,SRR19426825,"Cao,W., Jia,N., Lam,T.T.-Y., Ni,X., Liu,J.",2022-12-06,TIGMIC 1,Tonghua Totiv tick virus 1,,Totiviridae,dsRNA,843,,,,RNA-dependent RNA polymerase,China: Jilin,China,,Haemaphysalis longicornis,,2019,SAMN28688389,PRJNA841744,MAG: RNA-dependent RNA polymerase [Tonghua Totiv tick virus 1]
QKK35389,Erysiphe necator associated chrysovirus 3,GenBank,,MN617783,,"Rodriguez-Romero,J., Chiapello,M., Cordoba,L., Turina,M., Ayllon,M.A.",2021-06-09,PMS4_DN11454,Erysiphe necator associated chrysovirus 3,Chrysovirus,Chrysoviridae,dsRNA,1098,,RNA1,,RNA-dependent RNA polymerase,Spain,Spain,,Erysiphe necator,,2018,,,RNA-dependent RNA polymerase [Erysiphe necator associated chrysovirus 3]
QJW70333,Erysiphe necator associated totivirus 5,GenBank,,MN617026,,"Rodriguez-Romero,J., Chiapello,M., Cordoba,L., Turina,M., Ayllon,M.A.",2021-05-20,PMS5_DN34825,Erysiphe necator associated totivirus 5,Totivirus,Totiviridae,dsRNA,841,,,,RNA-dependent RNA polymerase,Spain,Spain,,Erysiphe necator,,2018,,,RNA-dependent RNA polymerase [Erysiphe necator associated totivirus 5]
QLC37098,Botrytis cinerea victorivirus 2-BCS14,GenBank,,MN839444,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2020-07-07,BCS14_DN8324,Botrytis cinerea victorivirus 2-BCS14,Victorivirus,Totiviridae,dsRNA,838,,,1,RNA-dependent RNA polymerase,Spain,Spain,,Botrytis cinerea,,2018,,,RNA-dependent RNA polymerase [Botrytis cinerea victorivirus 2-BCS14]
QLC37100,Botrytis cinerea victorivirus 2-BCS12,GenBank,,MN839445,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2020-07-07,BCS12_DN1502,Botrytis cinerea victorivirus 2-BCS12,Victorivirus,Totiviridae,dsRNA,838,,,1,RNA-dependent RNA polymerase,Spain,Spain,,Botrytis cinerea,,2018,,,RNA-dependent RNA polymerase [Botrytis cinerea victorivirus 2-BCS12]
