Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
QID59362,Sorghum almum marafivirus,,MN714643,,"Mollov,D., Rott,P.",2021-11-18,SA-FL1,Marafivirus sorghi,Marafivirus,Tymoviridae,ssRNA(+),1990,GenBank,,,,polyprotein,USA: Florida,USA,FL,Sorghum x almum,,2016-04,,,polyprotein [Sorghum almum marafivirus]
AYC35255,Naranjilla mild mosaic virus,set:MH784952,MH784952,,"Quito Avila,D.F., Karasev,A.V., Alvarez Quinto,R.R., Cornejo Franco,J.F., Mollov,D.",2018-09-30,Nar-21,Naranjilla mild mosaic virus,Tymovirus,Tymoviridae,ssRNA(+),654,GenBank,,,,putative movement protein,Ecuador,Ecuador,,Solanum quitoense,,2018-01-20,,,putative movement protein [Naranjilla mild mosaic virus]
AYC35256,Naranjilla mild mosaic virus,set:MH784952,MH784952,,"Quito Avila,D.F., Karasev,A.V., Alvarez Quinto,R.R., Cornejo Franco,J.F., Mollov,D.",2018-09-30,Nar-21,Naranjilla mild mosaic virus,Tymovirus,Tymoviridae,ssRNA(+),1847,GenBank,,,,replicase,Ecuador,Ecuador,,Solanum quitoense,,2018-01-20,,,replicase [Naranjilla mild mosaic virus]
AYC35257,Naranjilla mild mosaic virus,set:MH784952,MH784952,,"Quito Avila,D.F., Karasev,A.V., Alvarez Quinto,R.R., Cornejo Franco,J.F., Mollov,D.",2018-09-30,Nar-21,Naranjilla mild mosaic virus,Tymovirus,Tymoviridae,ssRNA(+),188,GenBank,,,,capsid protein,Ecuador,Ecuador,,Solanum quitoense,,2018-01-20,,,capsid protein [Naranjilla mild mosaic virus]
AWB13379,Alfalfa virus F,set:MG676465,MG676465,,"Nemchinov,L.G., Francois,S., Roumagnac,P., Mollov,D., Filloux,D.",2018-04-25,SM-1_C50,Marafivirus medicagonis,Marafivirus,Tymoviridae,ssRNA(+),2129,GenBank,,,,polyprotein,France: Prades-le-Lez,France,,Medicago sativa,,2015-04-15,,,polyprotein [Alfalfa virus F]
AUR53411,Naranjilla chlorotic mosaic virus,set:MG323924,MG323924,,"Green,K.J., Mollov,D., Tran,L.T., Alvarez-Quinto,R.A., Ochoa,J.B., Quito-Avila,D.F., Karasev,A.V.",2018-01-24,NarCMV,Naranjilla chlorotic mosaic virus,,Tymoviridae,ssRNA(+),630,GenBank,,,1,69K protein,Ecuador,Ecuador,,Solanum quitoense,,2015,,,69K protein [Naranjilla chlorotic mosaic virus]
AUR53412,Naranjilla chlorotic mosaic virus,set:MG323924,MG323924,,"Green,K.J., Mollov,D., Tran,L.T., Alvarez-Quinto,R.A., Ochoa,J.B., Quito-Avila,D.F., Karasev,A.V.",2018-01-24,NarCMV,Naranjilla chlorotic mosaic virus,,Tymoviridae,ssRNA(+),188,GenBank,,,1,CP,Ecuador,Ecuador,,Solanum quitoense,,2015,,,CP [Naranjilla chlorotic mosaic virus]
AUR53413,Naranjilla chlorotic mosaic virus,set:MG323924,MG323924,,"Green,K.J., Mollov,D., Tran,L.T., Alvarez-Quinto,R.A., Ochoa,J.B., Quito-Avila,D.F., Karasev,A.V.",2018-01-24,NarCMV,Naranjilla chlorotic mosaic virus,,Tymoviridae,ssRNA(+),1815,GenBank,,,1,200K protein,Ecuador,Ecuador,,Solanum quitoense,,2015,,,200K protein [Naranjilla chlorotic mosaic virus]
AQQ11758,Peach virus D,set:KY084481,KY084481,,"Igori,D., Lim,S., Baek,D., Kim,S.Y., Seo,E., Cho,I.-S., Choi,G.-S., Lim,H.-S., Moon,J.S.",2017-02-19,SK,Marafivirus pruni,Marafivirus,Tymoviridae,ssRNA(+),2066,GenBank,,,,replicase polyprotein,South Korea,South Korea,,Prunus persica,,2015-05-06,,,replicase polyprotein [Peach virus D]
AOX24075,Grapevine asteroid mosaic associated virus,set:KX354202,KX354202,,"Vargas-Asencio,J., Wojciechowska,K., Baskerville,M., Gomez,A.L., Perry,K.L., Thompson,J.R., Vargas-Asencio,J.A., Gomez,A., Thompson,J.",2016-10-25,GV30,Marafivirus asteroides,Marafivirus,Tymoviridae,ssRNA(+),2158,GenBank,,,1,ORF1 polyprotein,USA,USA,,Vitis vinifera,,2010-11-17,,,ORF1 polyprotein [Grapevine asteroid mosaic associated virus]
