queryID	taxID	perc_identity
NODE_A1001_length_789_cov_3.537921_BlackFly42	433	80.15
NODE_A1003_length_585_cov_3.730315_BlackFly30	2933780	97.8
NODE_A10067_length_689_cov_3.300654_BlackFly19	1649295	62.6666666666667
NODE_A1007_length_733_cov_3.923780_BlackFly9	2769258	96.8
NODE_A10084_length_797_cov_7.761111_BlackFly39	1903409	98.34
NODE_A10095_length_665_cov_7.984694_BlackFly25	286	85.5666666666667
NODE_A100_length_1540_cov_23.062201_BlackFly22	37960	42.1666666666667
NODE_A100_length_1740_cov_280.728803_BlackFly38	2692002	96.7
NODE_A100_length_1813_cov_16.844470_BlackFly35	2762594	90.1
NODE_A100_length_1882_cov_4.090859_BlackFly20	38018	98.1
NODE_A100_length_2130_cov_19.734535_BlackFly39	2726938	59.3
NODE_A100_length_2230_cov_5.299582_BlackFly21	2822438	42.7
NODE_A100_length_2250_cov_7.735849_BlackFly48	553	89.1
NODE_A100_length_2728_cov_33.285930_BlackFly29	1631	84.2
NODE_A100_length_2772_cov_11.373284_BlackFly32	2838627	85.4
NODE_A100_length_3070_cov_9.753091_BlackFly15	657016	82.7
NODE_A100_length_3112_cov_16.213180_BlackFly23	327386	55.55
NODE_A100_length_3433_cov_2.458284_BlackFly3	2742594	44.6
NODE_A100_length_3899_cov_39.241235_BlackFly16	53335	98.6
NODE_A100_length_4012_cov_931.241931_BlackFly28	2027243	38.4
NODE_A10104_length_599_cov_4.944444_BlackFly43	1620	85.6
NODE_A1010_length_704_cov_3.526316_BlackFly53	2067395	97.9
NODE_A1010_length_866_cov_3.854246_BlackFly28	597456	51.8
NODE_A1011_length_767_cov_2.400000_BlackFly24	91347	97.2666666666667
NODE_A10120_length_797_cov_3.205556_BlackFly39	91347	92.1
NODE_A10124_length_556_cov_1.271399_BlackFly7	2630326	96.2
NODE_A1012_length_720_cov_1.488336_BlackFly12	2809420	85.8
NODE_A1016_length_1025_cov_0.989451_BlackFly31	2808997	81.2
NODE_A1016_length_675_cov_1.043478_BlackFly15	1964541	95.6
NODE_A10177_length_598_cov_4.132438_BlackFly43	550	64.2
NODE_A1018_length_865_cov_1.373096_BlackFly28	1	58.65
NODE_A1019_length_733_cov_3.684451_BlackFly52	2742553	66.3
NODE_A1019_length_764_cov_1.398836_BlackFly46	2364647	94.4
NODE_A101_length_1035_cov_2.489562_BlackFly13	2784448	86.6
NODE_A101_length_1479_cov_4.440799_BlackFly58	3020468	51.1
NODE_A101_length_1583_cov_90.725764_BlackFly25	37960	61.05
NODE_A101_length_1870_cov_6.628555_BlackFly20	38018	96.5
NODE_A101_length_2221_cov_12.763060_BlackFly6	2695350	79.1
NODE_A101_length_2223_cov_4.257223_BlackFly21	2742544	52.5
NODE_A101_length_2724_cov_3.900642_BlackFly29	1	47.4
NODE_A101_length_2759_cov_25.901566_BlackFly32	2559587	61.4
NODE_A101_length_2785_cov_15.634047_BlackFly52	219809	48.1
NODE_A101_length_3416_cov_20.197065_BlackFly31	2742543	38.5
NODE_A101_length_3704_cov_9.521643_BlackFly19	433	50.8
NODE_A101_length_5118_cov_21.874231_BlackFly49	3003729	48.8
NODE_A10218_length_748_cov_4.815201_BlackFly23	59814	94.5
NODE_A1021_length_646_cov_2.456942_BlackFly6	425009	86
NODE_A1021_length_891_cov_2.302211_BlackFly7	1974281	64.5
NODE_A1024_length_998_cov_2.454940_BlackFly29	2587543	72
NODE_A10251_length_748_cov_1.268256_BlackFly23	1	70.78
NODE_A1028_length_1513_cov_6.073120_BlackFly34	2675442	78.3
NODE_A1029_length_1068_cov_10.266398_BlackFly36	2737071	81.3
NODE_A102_length_1465_cov_4.664265_BlackFly58	988801	89.9
NODE_A102_length_1513_cov_37.960306_BlackFly22	2880275	28.9
NODE_A102_length_1554_cov_9.908599_BlackFly46	2742541	83.6
NODE_A102_length_1896_cov_5.534909_BlackFly44	2905258	59.3
NODE_A102_length_2219_cov_8.893557_BlackFly21	10239	62.38
NODE_A102_length_2478_cov_8.424406_BlackFly34	2767842	99.7875
NODE_A102_length_2718_cov_6.373343_BlackFly29	1	46.1375
NODE_A102_length_2776_cov_6.384957_BlackFly52	1	53.7428571428571
NODE_A102_length_2912_cov_3.536508_BlackFly27	301207	39.3
NODE_A102_length_2949_cov_37.451950_BlackFly36	2587541	42.3
NODE_A102_length_3057_cov_14.218121_BlackFly15	53335	95.85
NODE_A102_length_3407_cov_9.632432_BlackFly3	547	99.4
NODE_A102_length_3683_cov_8.564615_BlackFly19	91915	99
NODE_A10316_length_730_cov_3.612557_BlackFly3	386490	100
NODE_A1031_length_1068_cov_2.885974_BlackFly36	2940731	91.2
NODE_A1031_length_1367_cov_3.125581_BlackFly3	2806549	59.3
NODE_A10346_length_544_cov_2.561028_BlackFly38	53335	95.9333333333333
NODE_A1036_length_1157_cov_4.689815_BlackFly43	1	98.96
NODE_A1037_length_1066_cov_2.314459_BlackFly36	2742553	45.5
NODE_A1037_length_878_cov_3.754057_BlackFly38	549	96
NODE_A1038_length_580_cov_0.838966_BlackFly30	53335	99.9375
NODE_A10393_length_729_cov_1.550613_BlackFly3	2100421	72.6
NODE_A103_length_1461_cov_2.596821_BlackFly58	2832643	79.5
NODE_A103_length_1478_cov_4.604568_BlackFly18	2788787	39.86
NODE_A103_length_1511_cov_3.586471_BlackFly10	2832643	61.5
NODE_A103_length_1513_cov_17.657382_BlackFly22	11012	50.9333333333333
NODE_A103_length_1769_cov_5.813239_BlackFly53	3020468	48.6
NODE_A103_length_1842_cov_5.818697_BlackFly20	38018	99.4
NODE_A103_length_2185_cov_22.293643_BlackFly21	2925283	72.9
NODE_A103_length_2729_cov_9.496606_BlackFly32	38018	58.9
NODE_A103_length_2755_cov_6.412248_BlackFly52	903984	96
NODE_A103_length_2927_cov_28.828772_BlackFly36	28214	47.7
NODE_A103_length_3052_cov_31.805714_BlackFly15	2744808	83.5
NODE_A103_length_3096_cov_10.725075_BlackFly23	2560145	59.6666666666667
NODE_A103_length_3861_cov_45.529334_BlackFly16	196821	57.1909090909091
NODE_A103_length_5112_cov_16.763059_BlackFly57	2713172	95.8
NODE_A103_length_962_cov_5.613559_BlackFly17	1224	61.25
NODE_A10400_length_551_cov_2.932489_BlackFly29	2905258	68.9
NODE_A10428_length_728_cov_1.797235_BlackFly3	1544694	79.5
NODE_A1042_length_1321_cov_14.690514_BlackFly23	2067395	70.5
NODE_A1043_length_995_cov_1.681917_BlackFly29	1631	95.8
NODE_A1044_length_664_cov_3.209540_BlackFly15	2582937	71.2
NODE_A1044_length_698_cov_2.001610_BlackFly53	543	42.0166666666667
NODE_A1045_length_1321_cov_2.773312_BlackFly23	91943	86.208
NODE_A1046_length_840_cov_2.799476_BlackFly16	33958	97.5
NODE_A1049_length_916_cov_18.603099_BlackFly_NC_2_Jill	1224	47.02
NODE_A104_length_1281_cov_8.730897_BlackFly_NC_Ludovica_1	29408	61.1
NODE_A104_length_1397_cov_3.178030_BlackFly9	413496	92.05
NODE_A104_length_1768_cov_7.092844_BlackFly53	2559587	71.825
NODE_A104_length_1774_cov_7.255745_BlackFly35	11012	94.6
NODE_A104_length_2199_cov_4.387842_BlackFly6	2892345	66.5
NODE_A104_length_2234_cov_4.503941_BlackFly42	470	58
NODE_A104_length_2292_cov_5.077201_BlackFly59	2972877	25.6
NODE_A104_length_2687_cov_24.680460_BlackFly29	559173	92
NODE_A104_length_2751_cov_10.632386_BlackFly52	2742544	78.8
NODE_A104_length_3042_cov_15.416189_BlackFly15	2742544	55.6
NODE_A104_length_3095_cov_4.785620_BlackFly23	549	85.7
NODE_A104_length_3334_cov_388.051581_BlackFly31	1923734	39.3
NODE_A1051_length_722_cov_1.417054_BlackFly_NC_Ludovica_2	286	95.6
NODE_A10524_length_592_cov_3.289320_BlackFly43	1590	86.6
NODE_A1054_length_1134_cov_2.298959_BlackFly19	2067395	93.8
NODE_A1054_length_844_cov_1.950456_BlackFly28	615	100
NODE_A10569_length_541_cov_4.577586_BlackFly38	38307	96.7
NODE_A1057_length_1356_cov_5.446443_BlackFly3	2100421	38
NODE_A1059_length_659_cov_2.847079_BlackFly15	91347	89.9166666666667
NODE_A105_length_1497_cov_5.743662_BlackFly10	2838331	55.3
NODE_A105_length_1688_cov_5.751086_BlackFly38	2689124	65.3
NODE_A105_length_1872_cov_74.588858_BlackFly44	2010284	54.8
NODE_A105_length_2052_cov_5.165570_BlackFly5	2970918	97.1
NODE_A105_length_2114_cov_9.617084_BlackFly39	2838331	63.3
NODE_A105_length_2138_cov_8.091218_BlackFly30	2923178	75.35
NODE_A105_length_2175_cov_164.829361_BlackFly21	2925283	69.3
NODE_A105_length_2223_cov_4.219012_BlackFly42	11006	86.6
NODE_A105_length_2687_cov_4.739464_BlackFly29	2745	68.48
NODE_A105_length_2694_cov_7.045090_BlackFly52	903984	98.4
NODE_A105_length_2874_cov_6.883089_BlackFly27	29385	84.9
NODE_A105_length_2920_cov_19.650721_BlackFly36	231053	85.8
NODE_A105_length_3329_cov_8.716482_BlackFly31	2905258	55.8
NODE_A105_length_3396_cov_39.227779_BlackFly3	438	63.9
NODE_A105_length_3593_cov_28.345279_BlackFly19	2742544	75.6
NODE_A105_length_3816_cov_7.514576_BlackFly16	47880	93.85
NODE_A10600_length_777_cov_2.671429_BlackFly27	2067395	84
NODE_A1060_length_755_cov_1.557522_BlackFly21	86661	100
NODE_A1061_length_635_cov_3.175627_BlackFly48	33392	72.9826086956522
NODE_A10632_length_786_cov_2.307475_BlackFly39	53335	98.725
NODE_A10658_length_723_cov_2.205882_BlackFly3	1981029	59.9
NODE_A10669_length_723_cov_1.659443_BlackFly3	1903409	96.05
NODE_A1066_length_575_cov_2.636546_BlackFly30	28882	76.4
NODE_A10699_length_722_cov_2.821705_BlackFly3	1903409	100
NODE_A1069_length_634_cov_5.705566_BlackFly48	570	98.6909090909091
NODE_A106_length_1489_cov_17.085694_BlackFly10	1929313	73.4
NODE_A106_length_1858_cov_5.586188_BlackFly44	2832643	97.2
NODE_A106_length_2683_cov_72.865695_BlackFly29	2935017	93.6
NODE_A106_length_3020_cov_12.227659_BlackFly12	38018	95.7
NODE_A106_length_3061_cov_4.387399_BlackFly23	28882	57.3
NODE_A106_length_3365_cov_37.178528_BlackFly3	1923734	35.9
NODE_A106_length_3514_cov_5.022694_BlackFly43	1921407	35.8
NODE_A106_length_3758_cov_48.275469_BlackFly16	908830	60.7
NODE_A1071_length_1312_cov_8.054251_BlackFly23	2070180	73.3
NODE_A10735_length_774_cov_5.114778_BlackFly27	1580	99.1333333333333
NODE_A1073_length_631_cov_1.577617_BlackFly6	2832643	73.5
NODE_A1075_length_833_cov_3.888889_BlackFly28	553	99.75
NODE_A1076_length_986_cov_6.481848_BlackFly31	610245	87.7
NODE_A10793_length_677_cov_4.886667_BlackFly19	2630326	99.6
NODE_A1079_length_985_cov_3.400881_BlackFly29	2067395	66
NODE_A107_length_1758_cov_82.723974_BlackFly53	1256786	98.9
NODE_A107_length_1784_cov_21.210310_BlackFly20	2832643	97.6
NODE_A107_length_2109_cov_2.984252_BlackFly30	2003658	96.7
NODE_A107_length_2456_cov_135.892392_BlackFly34	939922	83.125
NODE_A107_length_2833_cov_24.201742_BlackFly27	286	98.5666666666667
NODE_A107_length_2848_cov_12.202454_BlackFly36	2754858	46.1
NODE_A107_length_3340_cov_13.715906_BlackFly3	2743185	93.55
NODE_A107_length_3498_cov_10.575855_BlackFly43	434	79.65
NODE_A107_length_3758_cov_26.945939_BlackFly16	249310	25.6
NODE_A1082_length_1309_cov_4.357143_BlackFly23	231053	50.9
NODE_A1082_length_633_cov_1.924460_BlackFly48	1	68.4130434782609
NODE_A1084_length_1344_cov_6.542226_BlackFly3	2026730	68.1
NODE_A1088_length_718_cov_5.667707_BlackFly52	91347	99.025
NODE_A108_length_1722_cov_3.570213_BlackFly4	33964	98.975
NODE_A108_length_1753_cov_39.389021_BlackFly35	1256786	98.2
NODE_A108_length_1757_cov_9.315476_BlackFly53	2067395	53.2
NODE_A108_length_2161_cov_4.686660_BlackFly48	53335	91.52
NODE_A108_length_2264_cov_6.725194_BlackFly59	231052	67.6
NODE_A108_length_2453_cov_4.063131_BlackFly34	1923734	35.7
NODE_A108_length_2626_cov_7.320126_BlackFly52	2608891	98.4
NODE_A108_length_2637_cov_5.855859_BlackFly32	1245	95.525
NODE_A108_length_2962_cov_8.649567_BlackFly15	1035309	37.7
NODE_A108_length_2997_cov_97.586301_BlackFly23	91347	91.6
NODE_A108_length_3010_cov_8.106035_BlackFly12	469	81.45
NODE_A108_length_3742_cov_24.795907_BlackFly16	908830	65.9
NODE_A108_length_3880_cov_12.028662_BlackFly28	469	49.4
NODE_A10925_length_691_cov_1.074919_BlackFly45	2571159	44.1
NODE_A1092_length_978_cov_6.817980_BlackFly31	553	92.2
NODE_A10947_length_690_cov_3.476346_BlackFly45	2938193	73.9
NODE_A1094_length_1341_cov_3.582278_BlackFly3	2943836	40.2
NODE_A1094_length_828_cov_12.455393_BlackFly16	2970918	88.8
NODE_A1098_length_886_cov_4.202719_BlackFly57	543	54.6142857142857
NODE_A1099_length_774_cov_1.236729_BlackFly42	441	55.3666666666667
NODE_A109_length_1411_cov_3.554723_BlackFly58	249310	25.675
NODE_A109_length_2434_cov_8.712770_BlackFly34	2234093	95.1
NODE_A109_length_2653_cov_8.460016_BlackFly29	2008894	100
NODE_A109_length_2813_cov_5.927266_BlackFly36	2020877	45
NODE_A109_length_2989_cov_13.449519_BlackFly23	53335	77.9
NODE_A109_length_3294_cov_5.259248_BlackFly31	231052	74.55
NODE_A109_length_3311_cov_5.752010_BlackFly3	1386	99.468
NODE_A109_length_3418_cov_8.663873_BlackFly43	64648	60.8
NODE_A10_length_11176_cov_10.956753_BlackFly31	1	85.55
