seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NODE_A30_length_3196_cov_4.563322_BlackFly38	3196	No terminal repeats	NA	7	15	0.9997	0.0003	0	11.7025	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A25_length_10103_cov_14.317175_BlackFly3	10103	No terminal repeats	NA	14	11	0.9997	0.0003	1	23.7222	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A26_length_5103_cov_8.025269_BlackFly42	5103	No terminal repeats	NA	8	11	0.9997	0.0003	1	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A29_length_3732_cov_3.475239_BlackFly21	3732	No terminal repeats	NA	4	15	0.9997	0.0003	2	6.2956	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A75_length_5000_cov_17.505180_BlackFly28	5000	No terminal repeats	NA	4	11	0.9997	0.0003	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A20_length_7615_cov_6.791589_BlackFly6	7615	No terminal repeats	NA	11	11	0.9997	0.0003	6	15.3910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A8_length_6639_cov_9.592350_BlackFly34	6639	No terminal repeats	NA	8	11	0.9997	0.0003	1	13.4767	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A16_length_5922_cov_4.894098_BlackFly44	5922	No terminal repeats	NA	10	11	0.9997	0.0003	3	14.6853	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A46_length_3542_cov_657.638095_BlackFly44	3542	No terminal repeats	NA	3	11	0.9997	0.0003	3	5.1548	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NODE_A3_length_39392_cov_23.396922_BlackFly21	39392	ITR	NA	45	11	0.9997	0.0003	22	65.5099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A42_length_5127_cov_10.418614_BlackFly29	5127	No terminal repeats	NA	8	11	0.9997	0.0003	5	10.8385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A67_length_5001_cov_5.366572_BlackFly16	5001	No terminal repeats	NA	6	11	0.9997	0.0003	3	7.7120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_B16_length_5344_cov_58.876970_BlackFly52	5344	No terminal repeats	NA	10	11	0.9997	0.0003	1	17.1771	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A64_length_3132_cov_8.508020_BlackFly48	3132	No terminal repeats	NA	7	11	0.9997	0.0003	3	8.0297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A29_length_7150_cov_8.171921_BlackFly27	7150	No terminal repeats	NA	11	11	0.9997	0.0003	2	15.2665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_B33_length_4531_cov_40.148406_BlackFly12	4531	No terminal repeats	NA	4	11	0.9997	0.0003	0	6.8679	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A52_length_5395_cov_5.026890_BlackFly3	5395	No terminal repeats	NA	10	11	0.9997	0.0003	0	15.6936	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A93_length_3486_cov_9.268700_BlackFly31	3486	No terminal repeats	NA	7	11	0.9997	0.0003	1	11.6383	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A34_length_4184_cov_9.631848_BlackFly32	4184	No terminal repeats	NA	7	11	0.9997	0.0003	1	11.6971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A31_length_11068_cov_12.300428_BlackFly28	11068	No terminal repeats	NA	8	11	0.9997	0.0003	5	13.6408	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A30_length_7353_cov_6.153656_BlackFly29	7353	No terminal repeats	NA	9	11	0.9997	0.0003	3	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A21_length_7994_cov_7.820892_BlackFly15	7994	No terminal repeats	NA	18	11	0.9997	0.0003	1	16.4057	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A28_length_5120_cov_16.830061_BlackFly9	5120	No terminal repeats	NA	13	11	0.9997	0.0003	1	14.8676	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A34_length_3652_cov_4.092587_BlackFly14	3652	No terminal repeats	NA	3	11	0.9997	0.0003	0	4.3711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A17_length_17943_cov_28.067726_BlackFly3	17943	No terminal repeats	NA	20	11	0.9997	0.0003	3	30.4412	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A16_length_19458_cov_15.658274_BlackFly28	19458	No terminal repeats	NA	36	11	0.9997	0.0003	0	37.6151	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae
NODE_A44_length_4805_cov_10.107657_BlackFly23	4805	No terminal repeats	NA	10	11	0.9997	0.0003	4	13.5117	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Drexlerviridae
NODE_A5_length_16767_cov_16.606291_BlackFly52	16767	No terminal repeats	NA	21	11	0.9997	0.0003	11	33.9869	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A30_length_5278_cov_13.807537_BlackFly48	5278	No terminal repeats	NA	8	11	0.9997	0.0003	1	9.8922	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A20_length_4411_cov_12.235348_BlackFly35	4411	No terminal repeats	NA	8	11	0.9997	0.0003	1	10.3733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_39468_cov_1511.034196_BlackFly21	39468	DTR	NA	44	11	0.9997	0.0003	20	60.3551	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A12_length_32112_cov_80.972343_BlackFly3	32112	No terminal repeats	NA	50	11	0.9997	0.0003	13	63.0723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A26_length_7191_cov_30.637616_BlackFly15	7191	No terminal repeats	NA	10	11	0.9997	0.0003	8	14.5748	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A21_length_7075_cov_9.752787_BlackFly4	7075	No terminal repeats	NA	12	11	0.9997	0.0003	1	14.8099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A26_length_6231_cov_8.381865_BlackFly30	6231	No terminal repeats	NA	10	11	0.9997	0.0003	3	16.4295	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A52_length_5116_cov_8.038500_BlackFly36	5116	No terminal repeats	NA	5	11	0.9997	0.0003	2	7.4492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A3_length_56227_cov_17.126251_BlackFly28	56227	No terminal repeats	NA	44	11	0.9997	0.0003	4	61.3787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae
NODE_A31_length_7620_cov_27.188387_BlackFly3	7620	No terminal repeats	NA	10	11	0.9997	0.0003	1	9.7483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A165_length_1409_cov_3.922673_BlackFly38	1409	No terminal repeats	NA	3	11	0.9997	0.0003	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_39425_cov_757.523178_BlackFly4	39425	No terminal repeats	NA	45	11	0.9997	0.0003	8	41.9022	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A48_length_4949_cov_11.514984_BlackFly15	4949	No terminal repeats	NA	5	11	0.9997	0.0003	5	7.8909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A3_length_38625_cov_28.496783_BlackFly39	38625	No terminal repeats	NA	52	11	0.9997	0.0003	6	28.7265	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A271_length_1980_cov_7.484498_BlackFly16	1980	No terminal repeats	NA	3	11	0.9997	0.0003	1	5.1538	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A51_length_3032_cov_6.545854_BlackFly21	3032	No terminal repeats	NA	3	11	0.9997	0.0003	2	4.6374	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A11_length_24417_cov_30.542605_BlackFly6	24417	No terminal repeats	NA	23	11	0.9997	0.0003	5	12.7713	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A345_length_1781_cov_4.444249_BlackFly23	1781	No terminal repeats	NA	4	11	0.9997	0.0003	2	6.6920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A32_length_5276_cov_10.690133_BlackFly4	5276	No terminal repeats	NA	6	11	0.9997	0.0003	3	6.1845	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_12540_cov_26.538474_BlackFly33	12540	No terminal repeats	NA	20	11	0.9997	0.0003	3	25.8048	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A17_length_44501_cov_534.169255_BlackFly19	44501	DTR	NA	53	11	0.9997	0.0003	8	63.4082	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A18_length_15847_cov_29.006848_BlackFly3	15847	No terminal repeats	NA	21	11	0.9997	0.0003	4	29.6014	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A32_length_4300_cov_5.247691_BlackFly6	4300	No terminal repeats	NA	9	11	0.9997	0.0003	4	10.2229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A11_length_6523_cov_14.368446_BlackFly14	6523	No terminal repeats	NA	9	11	0.9997	0.0003	6	12.8016	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A21_length_40695_cov_61.432198_BlackFly19	40695	No terminal repeats	NA	60	11	0.9997	0.0003	12	71.4700	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A41_length_2866_cov_4.464324_BlackFly53	2866	No terminal repeats	NA	4	11	0.9997	0.0003	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A2_length_39247_cov_103.982665_BlackFly52	39247	DTR	NA	43	11	0.9997	0.0003	8	34.5367	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A30_length_5650_cov_168.576709_BlackFly52	5650	No terminal repeats	NA	7	11	0.9997	0.0003	3	6.9307	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A10_length_7196_cov_6.635342_BlackFly32	7196	No terminal repeats	NA	19	11	0.9997	0.0003	2	18.2656	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A13_length_13235_cov_22.517784_BlackFly30	13235	No terminal repeats	NA	25	11	0.9997	0.0003	5	28.0111	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A44_length_4664_cov_6.242860_BlackFly52	4664	No terminal repeats	NA	5	11	0.9997	0.0003	0	6.4855	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A20_length_9379_cov_9.264352_BlackFly29	9379	No terminal repeats	NA	15	11	0.9997	0.0003	11	19.2709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A1_length_3249_cov_6.722573_BlackFly_NC_Ludovica_1	3249	No terminal repeats	NA	6	11	0.9997	0.0003	2	8.5320	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A26_length_4485_cov_3.183076_BlackFly10	4485	No terminal repeats	NA	6	11	0.9997	0.0003	1	10.1297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A24_length_14951_cov_14.818811_BlackFly28	14951	No terminal repeats	NA	33	11	0.9997	0.0003	3	25.9461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A1580_length_1402_cov_4.609057_BlackFly34	1402	No terminal repeats	NA	5	11	0.9997	0.0003	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A8_length_25333_cov_107.182135_BlackFly10	25333	No terminal repeats	NA	28	11	0.9997	0.0003	4	13.3176	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A18_length_5850_cov_7.015590_BlackFly44	5850	No terminal repeats	NA	8	11	0.9997	0.0003	1	13.5043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A20_length_6127_cov_8.895868_BlackFly9	6127	No terminal repeats	NA	8	11	0.9997	0.0003	6	11.9242	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A23_length_5379_cov_19.143908_BlackFly39	5379	No terminal repeats	NA	8	11	0.9997	0.0003	7	10.9421	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A7_length_40194_cov_15.979560_BlackFly28	40194	No terminal repeats	NA	69	11	0.9997	0.0003	15	75.1973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A6_length_17759_cov_626.034046_BlackFly9	17759	No terminal repeats	NA	16	11	0.9997	0.0003	3	8.9669	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A73_length_3843_cov_8.697026_BlackFly31	3843	No terminal repeats	NA	7	11	0.9997	0.0003	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A9_length_18142_cov_65.307667_BlackFly29	18142	No terminal repeats	NA	23	11	0.9997	0.0003	16	32.6385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A9_length_18140_cov_11.648896_BlackFly15	18140	No terminal repeats	NA	19	11	0.9997	0.0003	8	24.8062	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A52_length_4044_cov_6.296950_BlackFly29	4044	No terminal repeats	NA	4	11	0.9997	0.0003	3	6.0386	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A27_length_4054_cov_6.459643_BlackFly10	4054	No terminal repeats	NA	5	11	0.9997	0.0003	0	5.4535	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A20_length_9958_cov_6.709038_BlackFly36	9958	No terminal repeats	NA	13	11	0.9997	0.0003	5	16.3395	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A33_length_5641_cov_9.305356_BlackFly23	5641	No terminal repeats	NA	8	11	0.9997	0.0003	3	7.7066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_B36_length_3981_cov_15.286885_BlackFly12	3981	No terminal repeats	NA	4	11	0.9997	0.0003	0	6.6258	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A3703_length_972_cov_4.423464_BlackFly23	972	No terminal repeats	NA	3	11	0.9997	0.0003	2	4.7356	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A348_length_2249_cov_5.773020_BlackFly49	2249	No terminal repeats	NA	4	11	0.9997	0.0003	2	6.1490	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A1_length_40427_cov_73.817323_BlackFly11	40427	No terminal repeats	NA	52	11	0.9997	0.0003	6	27.6897	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_A17_length_14159_cov_7.473654_BlackFly57	14159	No terminal repeats	NA	20	11	0.9997	0.0003	5	22.9718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A41_length_4968_cov_7.322633_BlackFly23	4968	No terminal repeats	NA	6	11	0.9997	0.0003	4	7.2153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Drexlerviridae
NODE_A2264_length_1313_cov_3.734628_BlackFly34	1313	No terminal repeats	NA	2	11	0.9997	0.0003	2	3.0290	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A28_length_7298_cov_47.329040_BlackFly27	7298	No terminal repeats	NA	9	11	0.9997	0.0003	4	12.0007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_B30_length_3354_cov_21.371681_BlackFly29	3354	No terminal repeats	NA	6	11	0.9997	0.0003	3	6.7863	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A43_length_8632_cov_10.851666_BlackFly28	8632	No terminal repeats	NA	8	11	0.9997	0.0003	6	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A113_length_3291_cov_19.195084_BlackFly19	3291	No terminal repeats	NA	10	11	0.9997	0.0003	2	17.1264	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Drexlerviridae
NODE_A70_length_6818_cov_9.468476_BlackFly19	6818	No terminal repeats	NA	9	11	0.9997	0.0003	2	9.5853	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A7_length_23060_cov_15.912152_BlackFly43	23060	No terminal repeats	NA	43	11	0.9997	0.0003	4	51.3753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A28_length_5933_cov_8.627391_BlackFly4	5933	No terminal repeats	NA	11	11	0.9997	0.0003	1	14.0380	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A12_length_10322_cov_28.854856_BlackFly23	10322	No terminal repeats	NA	13	11	0.9997	0.0003	7	18.0098	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A25_length_4549_cov_10.496646_BlackFly44	4549	No terminal repeats	NA	9	11	0.9997	0.0003	2	14.3981	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
