contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NODE_A1_length_282905_cov_503.825449_BlackFly3	282905	No	NA	336	134	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_224481_cov_213.585814_BlackFly6	224481	No	NA	257	86	2	Medium-quality	Genome-fragment	76.78	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
NODE_A1_length_222647_cov_103.919212_BlackFly5	222647	No	NA	250	87	2	Medium-quality	Genome-fragment	75.69	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
NODE_A1_length_219545_cov_63.599691_BlackFly23	219545	No	NA	234	87	1	Medium-quality	Genome-fragment	75.87	AAI-based (medium-confidence)	0.0	1.0	
NODE_A1_length_178860_cov_752.098662_BlackFly44	178860	No	NA	298	202	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_151883_cov_2154.118974_BlackFly23	151883	No	NA	228	78	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_147944_cov_50.530186_BlackFly28	147944	No	NA	274	121	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_145739_cov_4378.993224_BlackFly20	145739	No	NA	245	144	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_141305_cov_2551.038923_BlackFly5	141305	No	NA	184	15	5	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_112056_cov_196.930424_BlackFly29	112056	No	NA	184	50	0	Medium-quality	Genome-fragment	59.02	HMM-based (lower-bound)	0.0	1.0	
NODE_A1_length_74832_cov_2340.112916_BlackFly32	74832	No	NA	90	17	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_74294_cov_202.265074_BlackFly12	74294	No	NA	85	18	2	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_74175_cov_91.163513_BlackFly12	74175	No	NA	108	40	1	Medium-quality	Genome-fragment	76.07	AAI-based (medium-confidence)	0.0	1.0	
NODE_A2_length_71456_cov_6156.472366_BlackFly29	71456	No	NA	113	44	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_70234_cov_38.959747_BlackFly57	70234	No	NA	111	42	0	Medium-quality	Genome-fragment	82.46	AAI-based (medium-confidence)	0.0	1.0	
NODE_A1_length_65944_cov_39.130976_BlackFly36	65944	No	NA	88	26	4	Low-quality	Genome-fragment	13.83	AAI-based (medium-confidence)	0.0	1.0	
