Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_009987461,Lake Chad virus,GCF_016848445.1,NC_052682,,,2021-02-09,Ib An 38918,Quaranjavirus chadense,Quaranjavirus,Orthomyxoviridae,ssRNA(-),777,RefSeq,,3,,polymerase basic 1 protein,Nigeria,Nigeria,,Ploceus vitellinus,,1969,,PRJNA485481,polymerase basic 1 protein [Lake Chad virus]
YP_009996585,Quaranjavirus johnstonense,GCF_016848515.1,NC_052931,,,2021-02-09,LBJ,Quaranjavirus johnstonense,Quaranjavirus,Orthomyxoviridae,ssRNA(-),777,RefSeq,,3,,polymerase basic 1 protein,New Zealand,New Zealand,,Alectorobius capensis,,1972,,PRJNA485481,polymerase basic 1 protein [Quaranjavirus johnstonense]
YP_009553280,Oz virus,GCF_004117175.1,NC_040731,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12,,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae,ssRNA(-),715,RefSeq,,2,1,polymerase basic subunit 1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,PRJNA485481,polymerase basic subunit 1 [Oz virus]
YP_009508043,Quaranjavirus quaranfilense,GCF_002867795.1,NC_038821,,"Presti,R.M., Zhao,G., Beatty,W.L., Mihindukulasuriya,K.A., da Rosa,A.P., Popov,V.L., Tesh,R.B., Virgin,H.W., Wang,D.",2018-08-24,EG T 377,Quaranjavirus quaranfilense,Quaranjavirus,Orthomyxoviridae,ssRNA(-),777,RefSeq,,,1,polymerase PB1,Afghanistan,Afghanistan,,Argas reflexus,,1968-09,,PRJNA485481,polymerase PB1 [Quaranjavirus quaranfilense]
YP_009449556,Influenza D virus (D/swine/Oklahoma/1334/2011),GCF_002867775.1,NC_036615,,"Hause,B.M., Ducatez,M., Collin,E.A., Ran,Z., Liu,R., Sheng,Z., Armien,A., Kaplan,B., Chakravarty,S., Hoppe,A.D., Webby,R.J., Simonson,R.R., Li,F.",2018-01-16,,Deltainfluenzavirus influenzae,Deltainfluenzavirus,Orthomyxoviridae,ssRNA(-),753,RefSeq,,2,1,polymerase PB1,USA,USA,,Sus scrofa,,2011-03-21,,PRJNA485481,polymerase PB1 [Influenza D virus (D/swine/Oklahoma/1334/2011)]
YP_009118471,Influenza A virus (A/Shanghai/02/2013(H7N9)),GCF_000928555.1,NC_026423,,"Zhu,H., Wang,D., Kelvin,D.J., Li,L., Zheng,Z., Yoon,S.W., Wong,S.S., Farooqui,A., Wang,J., Banner,D., Chen,R., Zheng,R., Zhou,J., Zhang,Y., Hong,W., Dong,W., Cai,Q., Roehrl,M.H., Huang,S.S., Kelvin,A.A., Yao,T., Zhou,B., Chen,X., Leung,G.M., Poon,L.L., Webster,R.G., Webby,R.J., Peiris,J.S., Guan,Y., Shu,Y., Roehrl,M.A., Huang,S.H., Calvin,A.A.",2015-02-04,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,RefSeq,H7N9,2,1,polymerase PB1,China,China,,Homo sapiens,,2013-03-05,,PRJNA485481,polymerase PB1 [Influenza A virus (A/Shanghai/02/2013(H7N9))]
YP_009110686,Wellfleet Bay virus,GCF_000927955.1,NC_025796,,"Allison,A.B., Ballard,J.R., Tesh,R.B., Brown,J.D., Ruder,M.G., Keel,M.K., Munk,B.A., Mickley,R.M., Gibbs,S.E., Travassos da Rosa,A.P., Ellis,J.C., Ip,H.S., Shearn-Bochsler,V.I., Rogers,M.B., Ghedin,E., Holmes,E.C., Parrish,C.R., Dwyer,C., Gibbs,S.E.J., Travassos da Rosa,A.P.A., Gheldin,E.",2014-12-01,10-280-G,Quaranjavirus wellfleetense,Quaranjavirus,Orthomyxoviridae,ssRNA(-),770,RefSeq,,2,1,polymerase basic 1 protein,USA: Massachusetts,USA,MA,Somateria mollissima,,2010,,PRJNA485481,polymerase basic 1 protein [Wellfleet Bay virus]
YP_145794,Thogotovirus thogotoense,GCF_000854245.1,NC_006495,,"Leahy,M.B., Dessens,J.T., Weber,F., Kochs,G., Nuttall,P.A.",2004-12-07,,Thogotovirus thogotoense,Thogotovirus,Orthomyxoviridae,ssRNA(-),710,RefSeq,,2,1,PB1 protein,,,,,,,,PRJNA485481,PB1 protein [Thogotovirus thogotoense]
YP_145804,Isavirus salaris,GCF_000854145.2,NC_006503,,"Clouthier,S.C., Rector,T., Brown,N.E., Anderson,E.D.",2004-12-07,CCBB,Isavirus salaris,Isavirus,Orthomyxoviridae,ssRNA(-),708,RefSeq,,2,1,putative PB1 protein,Canada,Canada,,,,,,PRJNA485481,putative PB1 protein [Isavirus salaris]
YP_089653,Influenza C virus (C/Ann Arbor/1/50),GCF_000856665.10,NC_006308,,"Muraki,Y., Washioka,H., Sugawara,K., Matsuzaki,Y., Takashita,E., Hongo,S.",2004-09-24,,Gammainfluenzavirus influenzae,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),754,RefSeq,,2,1,polymerase 1,,,,,,,,PRJNA485481,polymerase 1 [Influenza C virus (C/Ann Arbor/1/50)]
NP_056657,Influenza B virus (B/Lee/1940),GCF_000820495.2,NC_002204,,"Kemdirim,S., Palefsky,J., Briedis,D.J., Breidis,D.J.",1993-08-02,,Betainfluenzavirus influenzae,Betainfluenzavirus,Orthomyxoviridae,ssRNA(-),752,RefSeq,,RNA 1,1,polymerase PB1,,,,,,,,PRJNA485481,polymerase PB1 [Influenza B virus (B/Lee/1940)]
UNJ19230,Toitoi isavirus 1,,OL871134,,"Perry,B.J., Darestani,M.M., Ara,M.G., Hoste,A., Jandt,J.M., Dutoit,L., Holmes,E.C., Ingram,T., Geoghegan,J.L.",2022-03-23,CB_FW_01_Otokaia_PB1,Toitoi isavirus 1,Isavirus,Orthomyxoviridae,ssRNA(-),346,GenBank,,,1,PB1,New Zealand,New Zealand,,Gobiomorphus cotidianus,gill,,,,"PB1, partial [Toitoi isavirus 1]"
UMO75699,Xinjiang orthomyxo-like virus 3,,MW784011,SRR14039747,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,190-229092,Xinjiang orthomyxo-like virus 3,,Orthomyxoviridae,ssRNA(-),368,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-22,SAMN18395360,PRJNA716119,"MAG: polymerase PB1, partial [Xinjiang orthomyxo-like virus 3]"
UMO75705,Guangxi sediment orthomyxo-like virus,,MW784006,SRR14039812,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,149-183569,Guangxi sediment orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),794,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-06,SAMN18395318,PRJNA716119,"MAG: polymerase PB1, partial [Guangxi sediment orthomyxo-like virus]"
UMO75706,Beijing sediment orthomyxo-like virus,,MW784007,SRR14039799,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,160-138170,Beijing sediment orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),348,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-29,SAMN18395330,PRJNA716119,"MAG: polymerase PB1, partial [Beijing sediment orthomyxo-like virus]"
UMO75713,Xinjiang sediment orthomyxo-like virus 4,,MW784015,SRR14039737,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,199-44879,Xinjiang sediment orthomyxo-like virus 4,,Orthomyxoviridae,ssRNA(-),795,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-23,SAMN18395369,PRJNA716119,MAG: polymerase PB1 [Xinjiang sediment orthomyxo-like virus 4]
UMO75717,Xinjiang sediment orthomyxo-like virus 5,,MW784019,SRR14039736,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,200-45877,Xinjiang sediment orthomyxo-like virus 5,,Orthomyxoviridae,ssRNA(-),787,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-23,SAMN18395370,PRJNA716119,MAG: polymerase PB1 [Xinjiang sediment orthomyxo-like virus 5]
UMO75720,Xinjiang sediment orthomyxo-like virus 1,,MW784022,SRR14039736,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,200-118809,Xinjiang sediment orthomyxo-like virus 1,,Orthomyxoviridae,ssRNA(-),760,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-23,SAMN18395370,PRJNA716119,MAG: polymerase PB1 [Xinjiang sediment orthomyxo-like virus 1]
UMO75722,Henan sediment orthomyxo-like virus,,MW784025,SRR14039640,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,293-70053,Henan sediment orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),794,GenBank,,,1,polymerase PB1,China,China,,,,2017-09-16,SAMN18395455,PRJNA716119,"MAG: polymerase PB1, partial [Henan sediment orthomyxo-like virus]"
UMO75723,Xinjiang sediment orthomyxo-like virus 2,,MW784026,SRR14039779,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,178bR-1494811,Xinjiang sediment orthomyxo-like virus 2,,Orthomyxoviridae,ssRNA(-),496,GenBank,,,1,polymerase PB1,China,China,,,,2017-08-22,SAMN18395348,PRJNA716119,"MAG: polymerase PB1, partial [Xinjiang sediment orthomyxo-like virus 2]"
UMO75726,Heilongjiang sediment orthomyxo-like virus,,MW784029,SRR14039584,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,358R-973149,Heilongjiang sediment orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),797,GenBank,,,1,polymerase PB1,China,China,,,,2018-06-10,SAMN18395505,PRJNA716119,"MAG: polymerase PB1, partial [Heilongjiang sediment orthomyxo-like virus]"
UMO75729,Yunnan sediment orthomyxo-like virus,,MW784032,SRR14039982,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,R29-809984,Yunnan sediment orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),777,GenBank,,,1,polymerase PB1,China,China,,,,2018-04-02,SAMN18395546,PRJNA716119,"MAG: polymerase PB1, partial [Yunnan sediment orthomyxo-like virus]"
UMO75734,Hainan orthomyxo-like virus 2,,MW784037,SRR14039909,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2022-03-09,R84-690285,Hainan orthomyxo-like virus 2,,Orthomyxoviridae,ssRNA(-),800,GenBank,,,1,polymerase PB1,China,China,,,,2018-03-10,SAMN18395586,PRJNA716119,MAG: polymerase PB1 [Hainan orthomyxo-like virus 2]
UJQ87630,Orthomyxoviridae sp.,,MW317143,SRR17029058,"Xu,Z.",2022-01-31,LS_82,Orthomyxoviridae sp.,,Orthomyxoviridae,ssRNA(-),784,GenBank,,,,PB1,China,China,,Culex,pooled insects,2018-05-09,SAMN23285482,PRJNA781647,MAG: PB1 [Orthomyxoviridae sp.]
DAZ85673,Aedes orthomyxo-like virus 2,,BK059432,SRR3208251,"Parry,R., James,M.E., Asgari,S., Parry,R.H.",2021-11-23,Italy Rome,Aedes orthomyxo-like virus 2,,Orthomyxoviridae,ssRNA(-),786,GenBank,,,1,RNA-dependent RNA polymerase basic 1,,,,Aedes albopictus,,,,,TPA_asm: RNA-dependent RNA polymerase basic 1 [Aedes orthomyxo-like virus 2]
UDY81318,Varroa orthomyxovirus-1,,MZ822006,SRR13871694,"Li,N.N.",2021-11-07,VOV1_No2_Am019-HB2018,Varroa orthomyxovirus-1,,Orthomyxoviridae,ssRNA(-),729,GenBank,,2,,polymerase subunit PB1,China: Hebei,China,,Apis mellifera,,2018,SAMN18146034,PRJNA706851,MAG: polymerase subunit PB1 [Varroa orthomyxovirus-1]
UDL13962,Xiangshan orthomyxo-like virus,,OK491487,"SRR14554111,SRR14554110","Li,N.N.",2021-10-30,Novel_11,Xiangshan orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),725,GenBank,,2,,RNA-dependent RNA polymerase subunit PB1,China: Beijing,China,,Insecta,,2020,SAMN19091166,PRJNA728541,MAG: RNA-dependent RNA polymerase subunit PB1 [Xiangshan orthomyxo-like virus]
UAJ23566,Granville quaranjavirus,,MZ502305,,"Sameroff,S., Tokarz,R., Jain,K., Oleynik,A., Carrington,C.V.F., Lipkin,W.I., Oura,C.A.L., Sameroff,S.C.",2021-09-14,,Granville quaranjavirus,Quaranjavirus,Orthomyxoviridae,ssRNA(-),703,GenBank,,,1,PB1,Trinidad and Tobago,Trinidad and Tobago,,Amblyomma dissimile,,2018-11,,,PB1 [Granville quaranjavirus]
QWC36493,Bemisia tabaci Quaranja-like virus 2,,MW256686,,"Huang,H.J., Ye,Z.X., Wang,X., Yan,X.T., Zhang,Y., He,Y.J., Qi,Y.H., Zhang,X.D., Zhuo,J.C., Lu,G., Lu,J.B., Mao,Q.Z., Sun,Z.T., Yan,F., Chen,J.P., Zhang,C.X., Li,J.M., Huang,H.-J., Li,J.-M.",2021-06-07,UC-Q1,Bemisia tabaci Quaranja-like virus 2,Quaranjavirus,Orthomyxoviridae,ssRNA(-),788,GenBank,,,1,PB1,United Kingdom,United Kingdom,,Bemisia tabaci,,2015-08,,,PB1 [Bemisia tabaci Quaranja-like virus 2]
QWC36498,Bemisia tabaci Quaranja-like virus 3,,MW256691,,"Huang,H.J., Ye,Z.X., Wang,X., Yan,X.T., Zhang,Y., He,Y.J., Qi,Y.H., Zhang,X.D., Zhuo,J.C., Lu,G., Lu,J.B., Mao,Q.Z., Sun,Z.T., Yan,F., Chen,J.P., Zhang,C.X., Li,J.M., Huang,H.-J., Li,J.-M.",2021-06-07,HU-S1,Bemisia tabaci Quaranja-like virus 3,Quaranjavirus,Orthomyxoviridae,ssRNA(-),737,GenBank,,,1,PB1,Israel,Israel,,Bemisia tabaci,,2017-12,,,PB1 [Bemisia tabaci Quaranja-like virus 3]
