	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A100_length_1540_cov_23.062201_BlackFly22	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A100_length_1740_cov_280.728803_BlackFly38	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Plasmopara viticola lesion associated Partitivirus 4
NODE_A100_length_1813_cov_16.844470_BlackFly35	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Corynespora cassiicola bipartite mycovirus 1
NODE_A100_length_1882_cov_4.090859_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A100_length_2130_cov_19.734535_BlackFly39	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Lichen partiti-like RNA virus sp.
NODE_A100_length_3112_cov_16.213180_BlackFly23	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	unclassified
NODE_A100_length_3433_cov_2.458284_BlackFly3	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Phenacoccus solenopsis nudivirus
NODE_A100_length_4012_cov_931.241931_BlackFly28	Viruses	Lenarviricota	Leviviricetes	Norzivirales	Fiersviridae	unclassified	Leviviridae sp.
NODE_A1016_length_1025_cov_0.989451_BlackFly31	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	unclassified	Botourmiaviridae sp.
NODE_A101_length_1035_cov_2.489562_BlackFly13	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Fusarium equiseti partitivirus 1
NODE_A101_length_1479_cov_4.440799_BlackFly58	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A101_length_1583_cov_90.725764_BlackFly25	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A101_length_1870_cov_6.628555_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A101_length_2221_cov_12.763060_BlackFly6	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Plasmopara viticola lesion associated polymycovirus 3
NODE_A101_length_2223_cov_4.257223_BlackFly21	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A101_length_2759_cov_25.901566_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
