Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
WEY36560,Horse nettle virus A,,OP292294,,"Zhou,J., Hurtado-Gonzales,O., Hu,X., Atha,B. III, Foster,J.",2023-04-05,MD-1,Horse nettle virus A,,Secoviridae,ssRNA(+),2298,GenBank,,RNA1,,replication-related polyprotein,USA,USA,,Solanum carolinense,plant leaf,2021-07,,,replication-related polyprotein [Horse nettle virus A]
WEY36561,Horse nettle virus A,,OP292295,,"Zhou,J., Hurtado-Gonzales,O., Hu,X., Atha,B. III, Foster,J.",2023-04-05,MD-1,Horse nettle virus A,,Secoviridae,ssRNA(+),1353,GenBank,,RNA2,,structural polyprotein,USA,USA,,Solanum carolinense,plant leaf,2021-07,,,structural polyprotein [Horse nettle virus A]
WAX04347,Cohombrillo associated virus,,OP019481,,"Maachi,A., Saiz,Y., Aranda,M., Donaire,L.",2022-12-22,ES,Cohombrillo associated virus,,,RNA,2202,GenBank,,RNA1,,polyprotein,Spain,Spain,,Ecballium elaterium,,2020-07,,,polyprotein [Cohombrillo associated virus]
WAX04348,Cohombrillo associated virus,,OP019482,,"Maachi,A., Saiz,Y., Aranda,M., Donaire,L.",2022-12-22,ES,Cohombrillo associated virus,,,RNA,995,GenBank,,RNA2,,polyprotein,Spain,Spain,,Ecballium elaterium,,2020-07,,,polyprotein [Cohombrillo associated virus]
WAJ59634,Paris nepovirus 1,,OP374158,,"Li,F., Lan,P.X., He,P.",2022-12-12,YLJ,Paris nepovirus 1,Nepovirus,Secoviridae,ssRNA(+),2276,GenBank,,RNA 1,,polyprotein,China: Yunnan,China,,Paris polyphylla var. yunnanensis,,2019,,,polyprotein [Paris nepovirus 1]
WAJ59635,Paris nepovirus 1,,OP374159,,"Li,F., Lan,P.X., He,P.",2022-12-12,YLJ,Paris nepovirus 1,Nepovirus,Secoviridae,ssRNA(+),1377,GenBank,,RNA 2,,polyprotein,China: Yunnan,China,,Paris polyphylla var. yunnanensis,,2019,,,polyprotein [Paris nepovirus 1]
CAI5383869,Common water moss secovirus,,OX380383,,"Mifsud CO,J., Holmes C,E., Gallagher V,R., Geoghegan L,J.",2022-11-27,,Common water moss secovirus,,Secoviridae,ssRNA(+),2063,GenBank,,,,polyprotein 1,,,,Fontinalis antipyretica,,,,PRJEB52092,polyprotein 1 [Common water moss secovirus]
CAI5383945,Common water moss secovirus,,OX380442,,"Mifsud CO,J., Holmes C,E., Gallagher V,R., Geoghegan L,J.",2022-11-27,,Common water moss secovirus,,Secoviridae,ssRNA(+),1286,GenBank,,,,polyprotein 2,,,,Fontinalis antipyretica,,,,PRJEB52092,"polyprotein 2, partial [Common water moss secovirus]"
CAI5383975,Shoestring fern seco-like virus,,OX380465,,"Mifsud CO,J., Holmes C,E., Gallagher V,R., Geoghegan L,J.",2022-11-27,,Shoestring fern seco-like virus,,Secoviridae,ssRNA(+),2100,GenBank,,,,polyprotein 1,,,,Vittaria lineata,,,,PRJEB52092,polyprotein 1 [Shoestring fern seco-like virus]
CAI5383991,Shoestring fern seco-like virus,,OX380478,,"Mifsud CO,J., Holmes C,E., Gallagher V,R., Geoghegan L,J.",2022-11-27,,Shoestring fern seco-like virus,,Secoviridae,ssRNA(+),1819,GenBank,,,,polyprotein 2,,,,Vittaria lineata,,,,PRJEB52092,polyprotein 2 [Shoestring fern seco-like virus]
