Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
UZH98846,rose ilarvirus 2,,ON843765,,"Chen,T.-C., Lin,Y.-C., Lin,C.-C., Lin,Y.-X., Chen,Y.-K.",2022-11-15,TW,rose ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),1046,GenBank,,RNA1,,replicase 1a,Taiwan,Taiwan,,Rosa,,2021,,,replicase 1a [rose ilarvirus 2]
UZH98847,rose ilarvirus 2,,ON843766,,"Chen,T.-C., Lin,Y.-C., Lin,C.-C., Lin,Y.-X., Chen,Y.-K.",2022-11-15,TW,rose ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),826,GenBank,,RNA2,,RNA-dependent RNA polymerase 2a,Taiwan,Taiwan,,Rosa,,2021,,,RNA-dependent RNA polymerase 2a [rose ilarvirus 2]
UZH98848,rose ilarvirus 2,,ON843766,,"Chen,T.-C., Lin,Y.-C., Lin,C.-C., Lin,Y.-X., Chen,Y.-K.",2022-11-15,TW,rose ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),229,GenBank,,RNA2,,gene silencing suppressor 2b,Taiwan,Taiwan,,Rosa,,2021,,,gene silencing suppressor 2b [rose ilarvirus 2]
UZH98849,rose ilarvirus 2,,ON843767,,"Chen,T.-C., Lin,Y.-C., Lin,C.-C., Lin,Y.-X., Chen,Y.-K.",2022-11-15,TW,rose ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),300,GenBank,,RNA3,,movement protein,Taiwan,Taiwan,,Rosa,,2021,,,movement protein [rose ilarvirus 2]
UZH98850,rose ilarvirus 2,,ON843767,,"Chen,T.-C., Lin,Y.-C., Lin,C.-C., Lin,Y.-X., Chen,Y.-K.",2022-11-15,TW,rose ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),246,GenBank,,RNA3,,coat protein,Taiwan,Taiwan,,Rosa,,2021,,,coat protein [rose ilarvirus 2]
UYP65660,Apple ilarvirus 2,,ON932434,,"Xiao,H., Hao,W., Storoschuk,G., MacDonald,J.L., Sanfacon,H.",2022-10-30,BC94,Apple ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),1064,GenBank,,RNA 1,,putative replicase,Canada,Canada,,Malus domestica,plant leaf,2020-05-27,,,putative replicase [Apple ilarvirus 2]
UYP65661,Apple ilarvirus 2,,ON932435,,"Xiao,H., Hao,W., Storoschuk,G., MacDonald,J.L., Sanfacon,H.",2022-10-30,BC94,Apple ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),816,GenBank,,RNA 2,,putative polymerase,Canada,Canada,,Malus domestica,plant leaf,2020-05-27,,,putative polymerase [Apple ilarvirus 2]
UYP65662,Apple ilarvirus 2,,ON932435,,"Xiao,H., Hao,W., Storoschuk,G., MacDonald,J.L., Sanfacon,H.",2022-10-30,BC94,Apple ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),190,GenBank,,RNA 2,,putative 2b protein,Canada,Canada,,Malus domestica,plant leaf,2020-05-27,,,putative 2b protein [Apple ilarvirus 2]
UYP65663,Apple ilarvirus 2,,ON932436,,"Xiao,H., Hao,W., Storoschuk,G., MacDonald,J.L., Sanfacon,H.",2022-10-30,BC94,Apple ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),295,GenBank,,RNA 3,,cell to cell movement protein,Canada,Canada,,Malus domestica,plant leaf,2020-05-27,,,cell to cell movement protein [Apple ilarvirus 2]
UYP65664,Apple ilarvirus 2,,ON932436,,"Xiao,H., Hao,W., Storoschuk,G., MacDonald,J.L., Sanfacon,H.",2022-10-30,BC94,Apple ilarvirus 2,Ilarvirus,Bromoviridae,ssRNA(+),219,GenBank,,RNA 3,,viral capsid protein,Canada,Canada,,Malus domestica,plant leaf,2020-05-27,,,viral capsid protein [Apple ilarvirus 2]
UXP11828,Soybean ilarvirus I,,OL539723,,"Elmore,M.G., Groves,C.L., Hajimorad,M.R., Stewart,T.P., Gaskill,M.A., Wise,K.A., Sikora,E., Kleczewski,N.M., Smith,D.L., Mueller,D.S., Whitham,S.A., Groves,C., Smith,D.",2022-10-05,IA-2016,Soybean ilarvirus I,Ilarvirus,Bromoviridae,ssRNA(+),1092,GenBank,,RNA1,1,protein 1a,USA,USA,,Glycine max,plant leaf,2016,,,protein 1a [Soybean ilarvirus I]
UXP11829,Soybean ilarvirus I,,OL539724,,"Elmore,M.G., Groves,C.L., Hajimorad,M.R., Stewart,T.P., Gaskill,M.A., Wise,K.A., Sikora,E., Kleczewski,N.M., Smith,D.L., Mueller,D.S., Whitham,S.A., Groves,C., Smith,D.",2022-10-05,IA-2016,Soybean ilarvirus I,Ilarvirus,Bromoviridae,ssRNA(+),812,GenBank,,RNA2,1,RNA-directed RNA polymerase 2a,USA,USA,,Glycine max,plant leaf,2016,,,RNA-directed RNA polymerase 2a [Soybean ilarvirus I]
UXP11830,Soybean ilarvirus I,,OL539724,,"Elmore,M.G., Groves,C.L., Hajimorad,M.R., Stewart,T.P., Gaskill,M.A., Wise,K.A., Sikora,E., Kleczewski,N.M., Smith,D.L., Mueller,D.S., Whitham,S.A., Groves,C., Smith,D.",2022-10-05,IA-2016,Soybean ilarvirus I,Ilarvirus,Bromoviridae,ssRNA(+),201,GenBank,,RNA2,1,protein 2b,USA,USA,,Glycine max,plant leaf,2016,,,protein 2b [Soybean ilarvirus I]
UXP11831,Soybean ilarvirus I,,OL539725,,"Elmore,M.G., Groves,C.L., Hajimorad,M.R., Stewart,T.P., Gaskill,M.A., Wise,K.A., Sikora,E., Kleczewski,N.M., Smith,D.L., Mueller,D.S., Whitham,S.A., Groves,C., Smith,D.",2022-10-05,IA-2016,Soybean ilarvirus I,Ilarvirus,Bromoviridae,ssRNA(+),293,GenBank,,RNA3,1,protein 3A,USA,USA,,Glycine max,plant leaf,2016,,,protein 3A [Soybean ilarvirus I]
UXP11832,Soybean ilarvirus I,,OL539725,,"Elmore,M.G., Groves,C.L., Hajimorad,M.R., Stewart,T.P., Gaskill,M.A., Wise,K.A., Sikora,E., Kleczewski,N.M., Smith,D.L., Mueller,D.S., Whitham,S.A., Groves,C., Smith,D.",2022-10-05,IA-2016,Soybean ilarvirus I,Ilarvirus,Bromoviridae,ssRNA(+),246,GenBank,,RNA3,1,coat protein,USA,USA,,Glycine max,plant leaf,2016,,,coat protein [Soybean ilarvirus I]
UVU20649,Carpotroche-associated ilarvirus,,OL964098,,"Vieira,A.C., Lopes,I.S., Fonseca,P.L.C., Olmo,R.P., Bittencourt,F., de Vasconcelos,L.M., Pirovani,C.P., Gaiotto,F.A., Aguiar,E.R.G.R.",2022-09-04,,Carpotroche-associated ilarvirus,Ilarvirus,Bromoviridae,ssRNA(+),296,GenBank,,,1,movement protein,Brazil,Brazil,,Carpotroche brasiliensis,,2021,,,movement protein [Carpotroche-associated ilarvirus]
UVU20650,Carpotroche-associated ilarvirus,,OL964099,,"Vieira,A.C., Lopes,I.S., Fonseca,P.L.C., Olmo,R.P., Bittencourt,F., de Vasconcelos,L.M., Pirovani,C.P., Gaiotto,F.A., Aguiar,E.R.G.R.",2022-09-04,,Carpotroche-associated ilarvirus,Ilarvirus,Bromoviridae,ssRNA(+),796,GenBank,,,1,replicase protein 2a,Brazil,Brazil,,Carpotroche brasiliensis,,2021,,,replicase protein 2a [Carpotroche-associated ilarvirus]
UVU20651,Carpotroche-associated ilarvirus,,OL964100,,"Vieira,A.C., Lopes,I.S., Fonseca,P.L.C., Olmo,R.P., Bittencourt,F., de Vasconcelos,L.M., Pirovani,C.P., Gaiotto,F.A., Aguiar,E.R.G.R.",2022-09-04,,Carpotroche-associated ilarvirus,Ilarvirus,Bromoviridae,ssRNA(+),1042,GenBank,,,1,replicase protein,Brazil,Brazil,,Carpotroche brasiliensis,,2021,,,replicase protein [Carpotroche-associated ilarvirus]
UTQ50863,Solanum nigrum ilarvirus 1,,OL472060,SRR16552283,"Rivarez,M.P.S., Pecman,A., Bacnik,K., Maksimovic Carvalho Ferreira,O., Vucurovic,A., Seljak,G., Mehle,N., Gutierrez-Aguirre,I., Ravnikar,M., Kutnjak,D., Kogej,Z., Lengar,Z.",2022-07-23,JUR20SW1,Solanum nigrum ilarvirus 1,Ilarvirus,Bromoviridae,ssRNA(+),1099,GenBank,,RNA1,,"replicase polyprotein (methyl transferase, helicase)",Slovenia,Slovenia,,Physalis,,2020-09,SAMN22357975,PRJNA772045,"MAG: replicase polyprotein (methyl transferase, helicase) [Solanum nigrum ilarvirus 1]"
UTQ50864,Solanum nigrum ilarvirus 1,,OL472061,SRR16552282,"Rivarez,M.P.S., Pecman,A., Bacnik,K., Maksimovic Carvalho Ferreira,O., Vucurovic,A., Seljak,G., Mehle,N., Gutierrez-Aguirre,I., Ravnikar,M., Kutnjak,D., Kogej,Z., Lengar,Z.",2022-07-23,JUR20SW1,Solanum nigrum ilarvirus 1,Ilarvirus,Bromoviridae,ssRNA(+),796,GenBank,,RNA2,,RNA-dependent RNA polymerase,Slovenia,Slovenia,,Physalis,,2020-09,SAMN22357975,PRJNA772045,MAG: RNA-dependent RNA polymerase [Solanum nigrum ilarvirus 1]
UTQ50865,Solanum nigrum ilarvirus 1,,OL472061,SRR16552282,"Rivarez,M.P.S., Pecman,A., Bacnik,K., Maksimovic Carvalho Ferreira,O., Vucurovic,A., Seljak,G., Mehle,N., Gutierrez-Aguirre,I., Ravnikar,M., Kutnjak,D., Kogej,Z., Lengar,Z.",2022-07-23,JUR20SW1,Solanum nigrum ilarvirus 1,Ilarvirus,Bromoviridae,ssRNA(+),200,GenBank,,RNA2,,viral suppressor of RNA silencing,Slovenia,Slovenia,,Physalis,,2020-09,SAMN22357975,PRJNA772045,MAG: viral suppressor of RNA silencing [Solanum nigrum ilarvirus 1]
UTQ50866,Solanum nigrum ilarvirus 1,,OL472062,SRR16552282,"Rivarez,M.P.S., Pecman,A., Bacnik,K., Maksimovic Carvalho Ferreira,O., Vucurovic,A., Seljak,G., Mehle,N., Gutierrez-Aguirre,I., Ravnikar,M., Kutnjak,D., Kogej,Z., Lengar,Z.",2022-07-23,JUR20SW1,Solanum nigrum ilarvirus 1,Ilarvirus,Bromoviridae,ssRNA(+),287,GenBank,,RNA3,,movement protein,Slovenia,Slovenia,,Physalis,,2020-09,SAMN22357975,PRJNA772045,MAG: movement protein [Solanum nigrum ilarvirus 1]
UTQ50867,Solanum nigrum ilarvirus 1,,OL472062,SRR16552282,"Rivarez,M.P.S., Pecman,A., Bacnik,K., Maksimovic Carvalho Ferreira,O., Vucurovic,A., Seljak,G., Mehle,N., Gutierrez-Aguirre,I., Ravnikar,M., Kutnjak,D., Kogej,Z., Lengar,Z.",2022-07-23,JUR20SW1,Solanum nigrum ilarvirus 1,Ilarvirus,Bromoviridae,ssRNA(+),226,GenBank,,RNA3,,coat protein,Slovenia,Slovenia,,Physalis,,2020-09,SAMN22357975,PRJNA772045,MAG: coat protein [Solanum nigrum ilarvirus 1]
UNH55532,Solanum violifolium ringspot virus,,OK626439,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Prb1,Cilevirus solani,Cilevirus,Kitaviridae,ssRNA(+),2472,GenBank,,RNA1,,RNA-dependent RNA polymerase,Brazil,Brazil,,Solanum violifolium,,2014,,,RNA-dependent RNA polymerase [Solanum violifolium ringspot virus]
UNH55533,Solanum violifolium ringspot virus,,OK626439,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Prb1,Cilevirus solani,Cilevirus,Kitaviridae,ssRNA(+),274,GenBank,,RNA1,,putative coat protein,Brazil,Brazil,,Solanum violifolium,,2014,,,putative coat protein [Solanum violifolium ringspot virus]
UNH55534,Solanum violifolium ringspot virus,,OK626440,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Prb1,Cilevirus solani,Cilevirus,Kitaviridae,ssRNA(+),554,GenBank,,RNA2,,P62 protein,Brazil,Brazil,,Solanum violifolium,,2014,,,P62 protein [Solanum violifolium ringspot virus]
UNH55535,Solanum violifolium ringspot virus,,OK626440,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Prb1,Cilevirus solani,Cilevirus,Kitaviridae,ssRNA(+),210,GenBank,,RNA2,,P23 protein,Brazil,Brazil,,Solanum violifolium,,2014,,,P23 protein [Solanum violifolium ringspot virus]
UNH55536,Solanum violifolium ringspot virus,,OK626440,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Prb1,Cilevirus solani,Cilevirus,Kitaviridae,ssRNA(+),299,GenBank,,RNA2,,movememt protein,Brazil,Brazil,,Solanum violifolium,,2014,,,movememt protein [Solanum violifolium ringspot virus]
UNH55552,Ligustrum chlorotic spot virus,,OK626447,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,SPa1,Cilevirus ligustri,Cilevirus,Kitaviridae,ssRNA(+),2409,GenBank,,RNA1,,RNA-dependent RNA polymerase,Brazil,Brazil,,Ligustrum japonicum,,2019,,,RNA-dependent RNA polymerase [Ligustrum chlorotic spot virus]
UNH55553,Ligustrum chlorotic spot virus,,OK626447,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,SPa1,Cilevirus ligustri,Cilevirus,Kitaviridae,ssRNA(+),282,GenBank,,RNA1,,putative coat protein,Brazil,Brazil,,Ligustrum japonicum,,2019,,,putative coat protein [Ligustrum chlorotic spot virus]
UNH55554,Ligustrum chlorotic spot virus,,OK626448,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,SPa1,Cilevirus ligustri,Cilevirus,Kitaviridae,ssRNA(+),531,GenBank,,RNA2,,P61 protein,Brazil,Brazil,,Ligustrum japonicum,,2019,,,P61 protein [Ligustrum chlorotic spot virus]
UNH55555,Ligustrum chlorotic spot virus,,OK626448,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,SPa1,Cilevirus ligustri,Cilevirus,Kitaviridae,ssRNA(+),304,GenBank,,RNA2,,movememt protein,Brazil,Brazil,,Ligustrum japonicum,,2019,,,movememt protein [Ligustrum chlorotic spot virus]
