Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
WFP21506,Molossus molossus chaphamaparvovirus,,OQ420634,,"Ramos,E.D.S.F., Abreu,W.U., Rodrigues,L.R.R., Marinho,L.F., Morais,V.D.S., Villanova,F., Pandey,R.P., Ara,E.L.L., Deng,X., Delwart,E., da Costa,A.C., Leal,E., Ramos,E.",2023-04-15,,Molossus molossus chaphamaparvovirus,,Parvoviridae,ssDNA(+/-),668,GenBank,,,1,nonstructural protein 1,Brazil,Brazil,,Molossus molossus,oronasopharynx,2016,,,nonstructural protein 1 [Molossus molossus chaphamaparvovirus]
WDB01642,Acheta domesticus segmented densovirus,,OP436269,,"Penzes,J.J., Pham,H.T., Chipman,P., Smith,E.W., McKenna,R., Tijssen,P.",2023-02-19,,Acheta domesticus segmented densovirus,Brevihamaparvovirus,Parvoviridae,ssDNA(+/-),795,GenBank,,,,NS1,Canada,Canada,,Acheta domesticus,,,,,NS1 [Acheta domesticus segmented densovirus]
UVX24852,Porcine parvovirus 8,,OP021638,,"Guo,Y., Yan,G.",2022-09-06,GDJM2021,Porcine parvovirus 8,,Parvoviridae,ssDNA(+/-),601,GenBank,,,,NS1,China,China,,Sus scrofa,,,,,NS1 [Porcine parvovirus 8]
USL49558,British Columbia amdoparvovirus,,ON375541,,"Canuti,M., Penzes,J.J., Lang,A.S.",2022-06-26,,British Columbia amdoparvovirus,Amdoparvovirus,Parvoviridae,ssDNA(+/-),641,GenBank,,,,NS1,Canada: British Columbia,Canada,,Neogale vison,,2015,,,NS1 [British Columbia amdoparvovirus]
UOH27027,Chaphamaparvovirus galliform4,,OM920501,,"Sarker,S.",2022-06-21,,Chaphamaparvovirus galliform4,Chaphamaparvovirus,Parvoviridae,ssDNA(+/-),674,GenBank,,,,nonstructural protein 1,Australia,Australia,,Gallus gallus,"liver, abdominal cavity",2021-03-03,,,nonstructural protein 1 [Chaphamaparvovirus galliform4]
URZ29384,Pangolin chaphamaparvovirus,,ON024117,,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.",2022-06-16,BIME1,Pangolin chaphamaparvovirus,Chaphamaparvovirus,Parvoviridae,ssDNA(+/-),654,GenBank,,,,nonstructural protein 1,China,China,,Pholidota,,2018,,,nonstructural protein 1 [Pangolin chaphamaparvovirus]
UQT67961,Phasianus chaphamaparvovirus,,MZ667220,,"Matos,M., Bilic,I., Viloux,N., Palmieri,N., Albaric,O., Chatenet,X., Tvarogova,J., Dinhopl,N., Heidl,S., Liebhart,D., Hess,M., Plamieri,N.",2022-05-23,,Phasianus chaphamaparvovirus,Chaphamaparvovirus,Parvoviridae,ssDNA(+/-),673,GenBank,,,,NS1,France,France,,Phasianus colchicus,,2020,,,NS1 [Phasianus chaphamaparvovirus]
UGV24204,SAfia-838D_Ambidensovirus,,MN765191,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.",2021-12-19,SAfia-838D,Blattambidensovirus incertum2,Blattambidensovirus,Parvoviridae,ssDNA(+/-),258,GenBank,,,1,NS1,Tanzania,Tanzania,,,,2015,,,MAG: NS1 [SAfia-838D_Ambidensovirus]
QZW33715,Psittacine parvovirus 2,,MZ364297,,"Sarker,S.",2021-11-09,,Chaphamaparvovirus psittacine2,Chaphamaparvovirus,Parvoviridae,ssDNA(+/-),671,GenBank,,,1,nonstructural protein 1,Australia,Australia,,,feces,2020-08-16,,,nonstructural protein 1 [Psittacine parvovirus 2]
UBZ25786,Newlavirus,,MZ813278,,"Canuti,M., Bouchard,E., Rodrigues,B., Whitney,H.G., Hopson,M., Gilroy,C., Stenson,G., Dufour,S.C., Lang,A.S., Verhoeven,J.T.P.",2021-10-11,,Newlavirus,Protoparvovirus,Parvoviridae,ssDNA(+/-),617,GenBank,,,,NS1,Canada: Labrador,Canada,,Vulpes vulpes,feces,2018,,,NS1 [Newlavirus]
