Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_010229220,Almendravirus balsa,GCF_002815515.1,NC_039200,,"Contreras,M.A., Eastwood,G., Guzman,H., Popov,V., Savit,C., Uribe,S., Kramer,L.D., Wood,T.G., Widen,S.G., Fish,D., Tesh,R.B., Vasilakis,N., Walker,P.J., Balta,V., Kramer,L.",2022-01-04,,Almendravirus balsa,Almendravirus,Rhabdoviridae,ssRNA(-),2042,RefSeq,,,1,RNA-dependent RNA polymerase,Colombia: Cordoba Province,Colombia,,Psorophora albigenu,,2013-06-15,,PRJNA485481,RNA-dependent RNA polymerase [Almendravirus balsa]
YP_010229226,Almendravirus chico,GCF_002366105.1,NC_031958,,"Contreras,M.A., Eastwood,G., Guzman,H., Popov,V., Savit,C., Uribe,S., Kramer,L.D., Wood,T.G., Widen,S.G., Fish,D., Tesh,R.B., Vasilakis,N., Walker,P.J., Balta,V., Kramer,L.",2022-01-04,,Almendravirus chico,Almendravirus,Rhabdoviridae,ssRNA(-),1931,RefSeq,,,1,RNA-dependent RNA polymerase,Panama,Panama,,Culicidae,,2013,,PRJNA485481,RNA-dependent RNA polymerase [Almendravirus chico]
YP_009551507,Pythium nunn virus 1,GCF_004117215.1,NC_040387,,"Shiba,K., Hatta,C., Sasai,S., Tojo,M., T Ohki,S., Mochizuki,T., Ohki,S.T.",2019-02-12,,Pythium nunn virus 1,Gammapartitivirus,Partitiviridae,dsRNA,530,RefSeq,,1,1,putative RNA-dependent RNA polymerase,Japan,Japan,,Globisporangium nunn,,,,PRJNA485481,putative RNA-dependent RNA polymerase [Pythium nunn virus 1]
YP_009551641,Bipolaris maydis partitivirus 2,GCF_004117555.1,NC_040496,,"Zhang,S., Wang,H., Li,C., Duan,X., Gong,M., Fang,S.",2019-02-12,,Bipolaris maydis partitivirus 2,,Partitiviridae,dsRNA,675,RefSeq,,RNA 1,,putative RNA-dependent RNA polymerase,China,China,,Bipolaris maydis,,2017-09-05,,PRJNA485481,putative RNA-dependent RNA polymerase [Bipolaris maydis partitivirus 2]
YP_009552278,Nanay virus,GCF_004130905.1,NC_040610,,"Charles,J., Tangudu,C.S., Firth,A.E., Blitvich,B.J.",2019-02-12,,Nanay virus,Orthoflavivirus,Flaviviridae,ssRNA(+),3432,RefSeq,,,1,polyprotein,,,,,,2009,,PRJNA485481,polyprotein [Nanay virus]
YP_009553311,Aspergillus fumigatus partitivirus 2,GCF_004117595.1,NC_040757,,"Zoll,J., Verweij,P.E., Melchers,W.J.G.",2019-02-12,V145-13,Aspergillus fumigatus partitivirus 2,,Partitiviridae,dsRNA,573,RefSeq,,1,,RNA-dependent RNA polymerase,Netherlands,Netherlands,,Aspergillus fumigatus,,2017-02-04,,PRJNA485481,RNA-dependent RNA polymerase [Aspergillus fumigatus partitivirus 2]
YP_009553330,Trichoderma harzianum bipartite mycovirus 1,GCF_004128155.1,NC_040768,,"Liu,C., Li,M., Wu,B., Jiang,X.",2019-02-12,137,Trichoderma harzianum orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae,RNA,631,RefSeq,,1,,RNA-dependent RNA polymerase,China: Xinjiang,China,,Trichoderma harzianum,,2015-07,,PRJNA485481,RNA-dependent RNA polymerase [Trichoderma harzianum bipartite mycovirus 1]
YP_009506602,Pteropus associated gemycircularvirus 3,GCF_002825805.1,NC_038486,,"Male,M.F., Kraberger,S., Stainton,D., Kami,V., Varsani,A.",2018-08-24,Tbat_A_103852,Gemycircularvirus ptero3,Gemycircularvirus,Genomoviridae,ssDNA,238,RefSeq,,,,RepA,Tonga,Tonga,,Pteropus tonganus,feces,2015,,PRJNA485481,RepA [Pteropus associated gemycircularvirus 3]
YP_009506636,Pacific flying fox faeces associated gemycircularvirus-12,GCF_002826045.1,NC_038498,,"Male,M.F., Kraberger,S., Stainton,D., Kami,V., Varsani,A.",2018-08-24,Tbat_A_64418,Gemykibivirus ptero1,Gemykibivirus,Genomoviridae,ssDNA,304,RefSeq,,,,RepA,Tonga,Tonga,,Pteropus tonganus,feces,2015,,PRJNA485481,RepA [Pacific flying fox faeces associated gemycircularvirus-12]
YP_009345032,Wuhan insect virus 33,GCF_002004235.1,NC_033722,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-02-16,,Wuhan insect virus 33,,,RNA,2000,RefSeq,,,1,hypothetical protein 1,China,China,,Hexapoda,,2013,,PRJNA485481,hypothetical protein 1 [Wuhan insect virus 33]
