Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
WJX09056,Trichoderma gamsii cogu-like virus 1,,OQ513277,SRR23531244,"Pagnoni,S., Forgia,M., Oufensou,S., Balmas,V., Gobbi,E., Migheli,Q., Turina,M.",2023-07-10,CPK 2306,Trichoderma gamsii cogu-like virus 1,,Phenuiviridae,RNA,2213,GenBank,,RNA1,,putative Rna-dependent RNA polymerase,Italy,Italy,,Trichoderma gamsii,,2006,SAMN33361768,PRJNA936709,putative Rna-dependent RNA polymerase [Trichoderma gamsii cogu-like virus 1]
WJX09057,Trichoderma gamsii cogu-like virus 1,,OQ513278,SRR23531244,"Pagnoni,S., Forgia,M., Oufensou,S., Balmas,V., Gobbi,E., Migheli,Q., Turina,M.",2023-07-10,CPK 2306,Trichoderma gamsii cogu-like virus 1,,Phenuiviridae,RNA,472,GenBank,,RNA2,,hypothetical protein,Italy,Italy,,Trichoderma gamsii,,2006,SAMN33361768,PRJNA936709,hypothetical protein [Trichoderma gamsii cogu-like virus 1]
WCU24516,Fusarium sibiricum coguvirus 1,,OQ295987,,"Li,P., Bhattacharjee,P., Wang,S., Guo,L.",2023-02-18,AH32,Fusarium sibiricum coguvirus 1,Coguvirus,Phenuiviridae,ssRNA(-),2197,GenBank,,RNA1,,RdRp,China,China,,,,2012-04,,,RdRp [Fusarium sibiricum coguvirus 1]
WCU24517,Fusarium sibiricum coguvirus 1,,OQ295988,,"Li,P., Bhattacharjee,P., Wang,S., Guo,L.",2023-02-18,AH32,Fusarium sibiricum coguvirus 1,Coguvirus,Phenuiviridae,ssRNA(-),342,GenBank,,RNA2,,nucleocapsid protein,China,China,,,,2012-04,,,nucleocapsid protein [Fusarium sibiricum coguvirus 1]
WCU24518,Fusarium sibiricum coguvirus 1,,OQ295988,,"Li,P., Bhattacharjee,P., Wang,S., Guo,L.",2023-02-18,AH32,Fusarium sibiricum coguvirus 1,Coguvirus,Phenuiviridae,ssRNA(-),312,GenBank,,RNA2,,hypothetical protein,China,China,,,,2012-04,,,hypothetical protein [Fusarium sibiricum coguvirus 1]
WBU98201,wheat yellows virus,,ON156474,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),2918,GenBank,,1,1,RNA-dependent RNA polymerase,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,RNA-dependent RNA polymerase [wheat yellows virus]
WBU98202,wheat yellows virus,,ON156475,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),201,GenBank,,2,1,movement protein,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,movement protein [wheat yellows virus]
WBU98203,wheat yellows virus,,ON156475,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),834,GenBank,,2,1,membrane glycoprotein,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,membrane glycoprotein [wheat yellows virus]
WBU98204,wheat yellows virus,,ON156476,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),196,GenBank,,3,1,nonstructural protein,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,nonstructural protein [wheat yellows virus]
WBU98205,wheat yellows virus,,ON156476,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),315,GenBank,,3,1,coat protein,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,coat protein [wheat yellows virus]
WBU98206,wheat yellows virus,,ON156477,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),178,GenBank,,4,1,disease specific protein,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,disease specific protein [wheat yellows virus]
WBU98207,wheat yellows virus,,ON156477,,"Read,D.A., Roberts,R., Prinsloo,G., Thompson,G.D.",2023-01-23,,wheat yellows virus,Tenuivirus,Phenuiviridae,ssRNA(-),286,GenBank,,4,1,NSvc4 protein,South Africa,South Africa,,Triticum aestivum,plant leaf,2019,,,NSvc4 protein [wheat yellows virus]
UZA34088,Edgeworthia chrysantha mosaic-associated virus,,ON602045,,"Wang,X., Liao,R., Yang,X., Liu,Q., Zhang,S., Cao,M.",2022-11-08,SWU-D,Edgeworthia chrysantha mosaic-associated virus,Coguvirus,Phenuiviridae,ssRNA(-),403,GenBank,,RNA2,1,movement protein,China,China,,Edgeworthia chrysantha,,2018,,,movement protein [Edgeworthia chrysantha mosaic-associated virus]
UZA34089,Edgeworthia chrysantha mosaic-associated virus,,ON602045,,"Wang,X., Liao,R., Yang,X., Liu,Q., Zhang,S., Cao,M.",2022-11-08,SWU-D,Edgeworthia chrysantha mosaic-associated virus,Coguvirus,Phenuiviridae,ssRNA(-),358,GenBank,,RNA2,1,nucleocapsid protein,China,China,,Edgeworthia chrysantha,,2018,,,nucleocapsid protein [Edgeworthia chrysantha mosaic-associated virus]
DAZ90965,Ceraphron bunya-like virus,,BK062753,,"Wu,H., Pang,R., Cheng,T., Xue,L., Zeng,H., Lei,T., Chen,M., Wu,S., Ding,Y., Zhang,J., Shi,M., Wu,Q.",2022-10-15,,Ceraphron bunya-like virus,,,RNA,267,GenBank,,S,1,nucleocapsid protein,,,,Ceraphron sp. AD-2014,,,,,TPA_asm: nucleocapsid protein [Ceraphron bunya-like virus]
DAZ90966,Ceraphron bunya-like virus,,BK062754,,"Wu,H., Pang,R., Cheng,T., Xue,L., Zeng,H., Lei,T., Chen,M., Wu,S., Ding,Y., Zhang,J., Shi,M., Wu,Q.",2022-10-15,,Ceraphron bunya-like virus,,,RNA,1018,GenBank,,M,1,glycoprotein precursor,,,,Ceraphron sp. AD-2014,,,,,TPA_asm: glycoprotein precursor [Ceraphron bunya-like virus]
DAZ90967,Ceraphron bunya-like virus,,BK062755,,"Wu,H., Pang,R., Cheng,T., Xue,L., Zeng,H., Lei,T., Chen,M., Wu,S., Ding,Y., Zhang,J., Shi,M., Wu,Q.",2022-10-15,,Ceraphron bunya-like virus,,,RNA,2082,GenBank,,L,1,RNA-dependent RNA polymerase,,,,Ceraphron sp. AD-2014,,,,,TPA_asm: RNA-dependent RNA polymerase [Ceraphron bunya-like virus]
UFE16634,Brassica campestris chinensis coguvirus 1,,MW291944,,"Tang,L., Song,L., Ye,Z., Lin,C., Wang,B., Lin,J., Gao,C., Wang,A.",2021-11-24,DC303,Brassica campestris chinensis coguvirus 1,Coguvirus,Phenuiviridae,ssRNA(-),2200,GenBank,,RNA1,,RNA-dependent RNA polymerase,China,China,,Brassica rapa subsp. chinensis,,2020-11-10,,,RNA-dependent RNA polymerase [Brassica campestris chinensis coguvirus 1]
UFE16635,Brassica campestris chinensis coguvirus 1,,MW291945,,"Tang,L., Song,L., Ye,Z., Lin,C., Wang,B., Lin,J., Gao,C., Wang,A.",2021-11-24,DC303,Brassica campestris chinensis coguvirus 1,Coguvirus,Phenuiviridae,ssRNA(-),415,GenBank,,RNA2,,movement protein,China,China,,Brassica rapa subsp. chinensis,,2020-11-10,,,movement protein [Brassica campestris chinensis coguvirus 1]
UFE16636,Brassica campestris chinensis coguvirus 1,,MW291945,,"Tang,L., Song,L., Ye,Z., Lin,C., Wang,B., Lin,J., Gao,C., Wang,A.",2021-11-24,DC303,Brassica campestris chinensis coguvirus 1,Coguvirus,Phenuiviridae,ssRNA(-),536,GenBank,,RNA2,,nucleocapsid protein,China,China,,Brassica rapa subsp. chinensis,,2020-11-10,,,nucleocapsid protein [Brassica campestris chinensis coguvirus 1]
QZU27238,Wheat white spike virus,,MZ703097,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),2921,GenBank,,RNA 1,,RNA-dependent RNA polymerase,Brazil,Brazil,,Triticum aestivum,,2018,,,RNA-dependent RNA polymerase [Wheat white spike virus]
QZU27239,Wheat white spike virus,,MZ703098,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),203,GenBank,,RNA 2,,pv2,Brazil,Brazil,,Triticum aestivum,,2018,,,pv2 [Wheat white spike virus]
QZU27240,Wheat white spike virus,,MZ703098,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),409,GenBank,,RNA 2,,pc2,Brazil,Brazil,,Triticum aestivum,,2018,,,pc2 [Wheat white spike virus]
QZU27241,Wheat white spike virus,,MZ703099,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),199,GenBank,,RNA 3,,NS3,Brazil,Brazil,,Triticum aestivum,,2018,,,NS3 [Wheat white spike virus]
QZU27242,Wheat white spike virus,,MZ703099,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),315,GenBank,,RNA 3,,NSvc3,Brazil,Brazil,,Triticum aestivum,,2018,,,NSvc3 [Wheat white spike virus]
QZU27243,Wheat white spike virus,,MZ703100,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),174,GenBank,,RNA 4,,NS4,Brazil,Brazil,,Triticum aestivum,,2018,,,NS4 [Wheat white spike virus]
QZU27244,Wheat white spike virus,,MZ703100,,"Pereira,F.S., Stempkowski,L.A., Fajardo,T.M., Junior,A.N., Lau,D., Mar,T.B., Nascimento,S.C., Bogo,A., Casa,R.T., Silva,F.N.",2021-09-07,BR:PG10:18,Wheat white spike virus,Tenuivirus,Phenuiviridae,ssRNA(-),282,GenBank,,RNA 4,,pc4,Brazil,Brazil,,Triticum aestivum,,2018,,,pc4 [Wheat white spike virus]
